scinam,longevity,origin,data_sources
alopochen aegyptiacus,25.5,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amazona aestiva,49,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amazona albifrons,25.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amazona amazonica,30,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amazona autumnalis,27,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amazona finschi,25.8,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amazona ochrocephala,56,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ammodramus caudacutus,10,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ammodramus henslowii,2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ammodramus maritimus,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ammodramus savannarum,3.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
amphispiza bilineata,6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas acuta,27.417,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas americana,21.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas clypeata,22.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas crecca,27.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas cyanoptera,12.917,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas discors,22.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas fulvigula,13,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas gracilis,31.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas laysanensis,12,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas penelope,34.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas platyrhynchos,29.08,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas querquedula,14.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas rubripes,26.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas strepera,22.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anas wyvilliana,3.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anhinga anhinga,11.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anhinga melanogaster,16,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser albifrons,25.25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser anser,23.583,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser brachyrhynchus,39.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser caerulescens,26.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser canagicus,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser fabalis,22.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anser rossii,21.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anseranas semipalmata,32,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthropoides virgo,27,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthus cervinus,4.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthus petrosus,10.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthus pratensis,7.67,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthus rubescens,5.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthus spinoletta,8.834,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
anthus trivialis,8.167,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aphelocoma californica,15.75,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aphelocoma coerulescens,15.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aphelocoma insularis,16,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aphelocoma ultramarina,19,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aptenodytes patagonicus,26,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
apteryx australis,35,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
apus apus,21,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila adalberti,21,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila audax,11,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila chrysaetos,32,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila heliaca,55,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila nipalensis,41,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila pomarina,26.1,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila rapax,18,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aquila wahlbergi,11.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ara ararauna,43,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ara chloroptera,50.1,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ara macao,64,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ara militaris,46,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aratinga acuticaudata,16,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aratinga auricapilla,20.9,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aratinga canicularis,16.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aratinga erythrogenys,26.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aratinga holochlora,22.5,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
archilochus colubris,9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ardea cinerea,35.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ardea cocoi,22,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ardea goliath,22,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ardea herodias,23.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ardea purpurea,25.417,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
ardeotis kori,26,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
arenaria interpres,14.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
asio flammeus,12.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
asio otus,27.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
athene cunicularia,8.7,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
auriparus flaviceps,5.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya affinis,18.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya americana,21.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya collaris,20.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya ferina,22.25,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya fuligula,20.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya marila,22.083,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
aythya valisineria,22.4,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
baeolophus bicolor,13.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
baeolophus inornatus,8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
baeolophus wollweberi,6.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
balaeniceps rex,36,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
balearica pavonina,13,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
balearica regulorum,21,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bartramia longicauda,5.2,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bombycilla garrulus,5.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bonasa umbellus,8.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
botaurus lentiginosus,8.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
botaurus stellaris,11.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
branta bernicla,25.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
branta canadensis,24.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
branta leucopsis,26.92,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
brotogeris chiriri,37,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
brotogeris pyrrhopterus,11.3,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
brotogeris sanctithomae,13.2,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
brotogeris tirica,11,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
brotogeris versicolurus,37,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bubalornis albirostris,20,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bubo virginianus,20.6,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bubulcus ibis,23,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bucephala albeola,14.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bucephala clangula,14.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bucephala islandica,15.3,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buceros bicornis,33.4,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bucorvus abyssinicus,40,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bucorvus leadbeateri,70,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bulweria bulwerii,22,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo buteo,25.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo jamaicensis,21.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo lagopus,18,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo lineatus,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo platypterus,14.34,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo regalis,20,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteo swainsoni,16,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
buteogallus anthracinus,13.5,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
butorides virescens,7.9,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
bycanistes subcylindricus,31.8,captivity,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cacatua alba,30,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cacatua galerita,100,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
cacatua moluccensis,65.8,wild,"Wasser, D. E., and P. W. Sherman. Avian longevities and their interpretation under evolutionary theories of senescence. Journal of Zoology 280.2 (2010): 103-155."
