"","x"
"Sporophila_maximiliani",0
"Melamprosops_phaeosoma",0
"Pseudonestor_xanthophrys",0
"Hemignathus_parvus",0
"Hemignathus_flavus",0
"Hemignathus_stejnegeri",0
"Hemignathus_virens",0
"Loxops_caeruleirostris",0
"Loxops_coccineus",0
"Loxops_mana",0
"Himatione_sanguinea",0
"Akialoa_obscura",0
"Oreomystis_bairdi",0
"Carpodacus_erythrinus",1
"Serinus_canaria",0
"Eophona_migratoria",1
"Eophona_personata",1
"Fringilla_polatzeki",0
"Fringilla_teydea",0
"Fringilla_montifringilla",1
"Motacilla_cinerea",1
"Motacilla_alba",1
"Anthus_novaeseelandiae",0
"Vidua_chalybeata",0
"Lonchura_castaneothorax",0
"Lonchura_nevermanni",0
"Lonchura_melaena",0
"Lonchura_forbesi",0
"Lonchura_hunsteini",0
"Lonchura_spectabilis",0
"Lonchura_grandis",0
"Lonchura_stygia",0
"Lonchura_caniceps",0
"Padda_oryzivora",0
"Prunella_montanella",1
"Regulus_calendula",1
"Moho_braccatus",0
"Garrulax_perspicillatus",0
"Garrulax_poecilorhynchus",0
"Garrulax_sannio",0
"Garrulax_cineraceus",0
"Garrulax_canorus",0
"Leiothrix_argentauris",0
"Napothera_epilepidota",0
"Zosterops_erythropleurus",1
"Paradoxornis_webbianus",0
"Sylvia_atricapilla",1
"Sylvia_crassirostris",1
"Pycnonotus_taivanus",0
"Pycnonotus_xanthorrhous",0
"Pycnonotus_melanicterus",0
"Spizixos_semitorques",0
"Aegithalos_fuliginosus",0
"Abrornis_proregulus",1
"Alauda_arvensis",1
"Remiz_consobrinus",1
"Hyliota_flavigaster",0
"Eopsaltria_griseogularis",0
"Eopsaltria_georgiana",0
"Eopsaltria_australis",0
"Tregellasia_leucops",0
"Tregellasia_capito",0
"Petroica_australis",0
"Petroica_macrocephala",0
"Heteralocha_acutirostris",0
"Philesturnus_carunculatus",0
"Callaeas_cinereus",0
"Lanius_cristatus",1
"Lanius_isabellinus",1
"Lanius_tigrinus",1
"Corvus_moriorum",0
"Corvus_splendens",0
"Corvus_hawaiiensis",0
"Urocissa_erythrorhyncha",0
"Urocissa_caerulea",0
"Terpsiphone_atrocaudata",1
"Prosthemadera_novaeseelandiae",0
"Epthianura_albifrons",0
"Gerygone_igata",0
"Malurus_melanocephalus",0
"Menura_novaehollandiae",0
"Pitta_nympha",1
"Smithornis_sharpei",0
"Mionectes_oleagineus",0
"Cnemotriccus_fuscatus",0
"Asio_flammeus",1
"Bubo_scandiacus",1
"Ninox_scutulata",0
"Ninox_strenua",0
"Ninox_novaeseelandiae",0
"Otus_bakkamoena",0
"Phodilus_badius",0
"Rhyticeros_undulatus",0
"Anthracoceros_coronatus",0
"Buceros_rhinoceros",0
"Buceros_bicornis",0
"Campephilus_guatemalensis",0
"Jynx_ruficollis",0
"Indicator_maculatus",0
"Prodotiscus_insignis",0
"Megalaima_virens",0
"Pteroglossus_azara",0
"Ceryle_rudis",0
"Halcyon_pileata",1
"Trogon_viridis",0
"Circus_cyaneus",1
"Nisaetus_nipalensis",0
"Egretta_sacra",0
"Egretta_eulophotes",1
"Gorsachius_goisagi",1
"Ixobrychus_eurhythmus",1
"Botaurus_stellaris",1
"Eudocimus_ruber",0
"Ciconia_ciconia",1
"Ciconia_nigra",1
"Gavia_pacifica",1
"Gavia_arctica",1
"Gavia_stellata",1
"Rhynochetos_jubatus",0
"Tringa_erythropus",1
"Tringa_glareola",1
"Tringa_ochropus",1
"Xenus_cinereus",1
"Arenaria_interpres",1
"Gallinago_stenura",1
"Scolopax_rusticola",1
"Limosa_lapponica",1
"Jacana_jacana",0
"Jacana_spinosa",0
"Vanellus_cinereus",1
"Charadrius_placidus",1
"Haematopus_ostralegus",1
"Rallina_eurizonoides",0
"Porzana_paykullii",1
"Amaurornis_phoenicurus",0
"Coturnicops_exquisitus",1
"Eulabeornis_castaneoventris",0
"Heliornis_fulica",0
"Grus_leucogeranus",1
"Grus_rubicunda",0
"Grus_vipio",1
"Grus_japonensis",1
"Grus_monacha",1
"Grus_grus",1
"Grus_americana",1
"Anthropoides_virgo",1
"Anthropoides_paradiseus",0
"Balearica_pavonina",0
"Balearica_regulorum",0
"Cuculus_poliocephalus",1
"Geococcyx_californianus",0
"Aegotheles_cristatus",0
"NODE_266",0
"NODE_267",0
"NODE_268",0
"NODE_269",0
"NODE_270",0
"NODE_271",0
"NODE_272",0
"NODE_273",0
"NODE_274",0
"NODE_275",0
"NODE_276",0
"NODE_277",0
"NODE_278",0
"NODE_279",0
"NODE_280",0
"NODE_281",0
"NODE_282",0
"NODE_283",0
"NODE_284",0
"NODE_285",0
"NODE_286",0
"NODE_287",0
"NODE_288",0
"NODE_289",1
"NODE_290",1
"NODE_291",1
"NODE_292",1
"NODE_293",1
"NODE_294",1
"NODE_295",1
"NODE_296",1
"NODE_297",1
"NODE_298",1
"NODE_299",1
"NODE_300",1
"NODE_301",1
"NODE_302",1
"NODE_303",1
"NODE_304",1
"NODE_305",1
"NODE_306",1
"NODE_307",0
"NODE_308",0
"NODE_309",0
"NODE_310",0
"NODE_311",0
"NODE_312",0
"NODE_313",0
"NODE_314",0
"NODE_315",0
"NODE_316",0
"NODE_317",0
"NODE_318",0
"NODE_319",0
"NODE_320",0
"NODE_321",0
"NODE_322",0
"NODE_323",0
"NODE_324",0
"NODE_325",0
"NODE_326",0
"NODE_327",0
"NODE_328",0
"NODE_329",0
"NODE_330",0
"NODE_331",0
"NODE_332",0
"NODE_333",0
"NODE_334",0
"NODE_335",0
"NODE_336",0
"NODE_337",0
"NODE_338",0
"NODE_339",0
"NODE_340",0
"NODE_341",0
"NODE_342",0
"NODE_343",0
"NODE_344",0
"NODE_345",0
"NODE_346",0
"NODE_347",0
"NODE_348",0
"NODE_349",0
"NODE_350",0
"NODE_351",0
"NODE_352",0
"NODE_353",0
"NODE_354",0
"NODE_355",0
"NODE_356",1
"NODE_357",1
"NODE_358",1
"NODE_359",1
"NODE_360",1
"NODE_361",0
"NODE_362",1
"NODE_363",1
"NODE_364",1
"NODE_365",0
"NODE_366",0
"NODE_367",0
"NODE_368",0
"NODE_369",0
"NODE_370",0
"NODE_371",0
"NODE_372",0
"NODE_373",0
"NODE_374",0
"NODE_375",0
"NODE_376",0
"NODE_377",0
"NODE_378",0
"NODE_379",0
"NODE_380",0
"NODE_381",0
"NODE_382",0
"NODE_383",0
"NODE_384",0
"NODE_385",0
"NODE_386",1
"NODE_387",1
"NODE_388",1
"NODE_389",1
"NODE_390",0
"NODE_391",0
"NODE_392",0
"NODE_393",0
"NODE_394",0
"NODE_395",0
"NODE_396",0
"NODE_397",0
"NODE_398",0
"NODE_399",0
"NODE_400",0
"NODE_401",0
"NODE_402",0
"NODE_403",0
"NODE_404",0
"NODE_405",0
"NODE_406",0
"NODE_407",0
"NODE_408",0
"NODE_409",1
"NODE_410",0
"NODE_411",0
"NODE_412",0
"NODE_413",1
"NODE_414",0
"NODE_415",0
"NODE_416",0
"NODE_417",0
"NODE_418",0
"NODE_419",0
"NODE_420",0
"NODE_421",0
"NODE_422",0
"NODE_423",0
"NODE_424",0
"NODE_425",0
"NODE_426",0
"NODE_427",0
"NODE_428",0
"NODE_429",0
"NODE_430",0
"NODE_431",0
"NODE_432",0
"NODE_433",0
"NODE_434",0
"NODE_435",0
"NODE_436",0
"NODE_437",0
"NODE_438",1
"NODE_439",0
"NODE_440",0
"NODE_441",0
"NODE_442",0
"NODE_443",0
"NODE_444",0
"NODE_445",0
"NODE_446",0
"NODE_447",0
"NODE_448",0
"NODE_449",0
"NODE_450",0
"NODE_451",0
"NODE_452",0
"NODE_453",1
"NODE_454",1
"NODE_455",1
"NODE_456",1
"NODE_457",0
"NODE_458",0
"NODE_459",0
"NODE_460",0
"NODE_461",0
"NODE_462",0
"NODE_463",0
"NODE_464",0
"NODE_465",0
"NODE_466",0
"NODE_467",0
"NODE_468",0
"NODE_469",0
"NODE_470",0
"NODE_471",0
"NODE_472",1
"NODE_473",0
"NODE_474",0
"NODE_475",0
"NODE_476",0
"NODE_477",0
"NODE_478",0
"NODE_479",0
"NODE_480",0
"NODE_481",0
"NODE_482",0
"NODE_483",0
"NODE_484",0
"NODE_485",0
"NODE_486",0
"NODE_487",0
"NODE_488",0
"NODE_489",1
"NODE_490",1
"NODE_491",1
"NODE_492",1
"NODE_493",1
"NODE_494",1
"NODE_495",1
"NODE_496",1
"NODE_497",1
"NODE_498",1
"NODE_499",0
"NODE_500",1
"NODE_501",1
"NODE_502",1
"NODE_503",1
"NODE_504",1
"NODE_505",1
"NODE_506",1
"NODE_507",1
"NODE_508",1
"NODE_509",0
"NODE_510",1
"NODE_511",1
"NODE_512",0
"NODE_513",0
"NODE_514",0
"NODE_515",0
"NODE_516",0
"NODE_517",0
"NODE_518",0
"NODE_519",1
"NODE_520",1
"NODE_521",1
"NODE_522",1
"NODE_523",1
"NODE_524",1
"NODE_525",1
"NODE_526",1
"NODE_527",0
"NODE_528",0
"NODE_529",0
