"","x"
"Ninox_novaeseelandiae",0
"Otus_bakkamoena",0
"Phodilus_badius",0
"Rhyticeros_undulatus",0
"Anthracoceros_coronatus",0
"Buceros_rhinoceros",0
"Buceros_bicornis",0
"Campephilus_guatemalensis",0
"Jynx_ruficollis",0
"Indicator_maculatus",0
"Prodotiscus_insignis",0
"Megalaima_virens",0
"Pteroglossus_azara",0
"Ceryle_rudis",0
"Trogon_viridis",0
"Nisaetus_nipalensis",0
"Egretta_sacra",0
"Eudocimus_ruber",0
"Rhynochetos_jubatus",0
"Jacana_jacana",0
"Jacana_spinosa",0
"Rallina_eurizonoides",0
"Amaurornis_phoenicurus",0
"Eulabeornis_castaneoventris",0
"Heliornis_fulica",0
"Grus_rubicunda",0
"Anthropoides_paradiseus",0
"Balearica_pavonina",0
"Balearica_regulorum",0
"Geococcyx_californianus",0
"Aegotheles_cristatus",0
"Oreotrochilus_melanogaster",1
"NODE_196",0
"NODE_197",0
"NODE_198",0
"NODE_199",0
"NODE_200",0
"NODE_201",0
"NODE_202",0
"NODE_203",1
"NODE_204",1
"NODE_205",1
"NODE_206",1
"NODE_207",1
"NODE_208",1
"NODE_209",1
"NODE_210",1
"NODE_211",1
"NODE_212",1
"NODE_213",1
"NODE_214",1
"NODE_215",0
"NODE_216",0
"NODE_217",0
"NODE_218",0
"NODE_219",0
"NODE_220",0
"NODE_221",1
"NODE_222",0
"NODE_223",0
"NODE_224",0
"NODE_225",0
"NODE_226",0
"NODE_227",0
"NODE_228",0
"NODE_229",0
"NODE_230",0
"NODE_231",0
"NODE_232",0
"NODE_233",0
"NODE_234",0
"NODE_235",0
"NODE_236",0
"NODE_237",0
"NODE_238",0
"NODE_239",0
"NODE_240",0
"NODE_241",0
"NODE_242",0
"NODE_243",0
"NODE_244",0
"NODE_245",0
"NODE_246",0
"NODE_247",0
"NODE_248",0
"NODE_249",0
"NODE_250",0
"NODE_251",0
"NODE_252",0
"NODE_253",0
"NODE_254",0
"NODE_255",0
"NODE_256",0
"NODE_257",0
"NODE_258",0
"NODE_259",0
"NODE_260",0
"NODE_261",0
"NODE_262",0
"NODE_263",0
"NODE_264",0
"NODE_265",0
"NODE_266",0
"NODE_267",0
"NODE_268",0
"NODE_269",0
"NODE_270",0
"NODE_271",0
"NODE_272",0
"NODE_273",0
"NODE_274",0
"NODE_275",0
"NODE_276",0
"NODE_277",0
"NODE_278",0
"NODE_279",0
"NODE_280",0
"NODE_281",0
"NODE_282",0
"NODE_283",0
"NODE_284",0
"NODE_285",1
"NODE_286",1
"NODE_287",1
"NODE_288",1
"NODE_289",0
"NODE_290",0
"NODE_291",0
"NODE_292",0
"NODE_293",0
"NODE_294",0
"NODE_295",0
"NODE_296",0
"NODE_297",0
"NODE_298",0
"NODE_299",0
"NODE_300",0
"NODE_301",0
"NODE_302",0
"NODE_303",0
"NODE_304",0
"NODE_305",0
"NODE_306",0
"NODE_307",0
"NODE_308",0
"NODE_309",0
"NODE_310",0
"NODE_311",0
"NODE_312",0
"NODE_313",0
"NODE_314",0
"NODE_315",0
"NODE_316",0
"NODE_317",0
"NODE_318",0
"NODE_319",0
"NODE_320",0
"NODE_321",0
"NODE_322",0
"NODE_323",0
"NODE_324",0
"NODE_325",0
"NODE_326",0
"NODE_327",0
"NODE_328",0
"NODE_329",0
"NODE_330",0
"NODE_331",0
"NODE_332",0
"NODE_333",0
"NODE_334",0
"NODE_335",0
"NODE_336",0
"NODE_337",0
"NODE_338",0
"NODE_339",0
"NODE_340",0
"NODE_341",0
"NODE_342",0
"NODE_343",0
"NODE_344",0
"NODE_345",0
"NODE_346",0
"NODE_347",0
"NODE_348",0
"NODE_349",0
"NODE_350",0
"NODE_351",0
"NODE_352",0
"NODE_353",0
"NODE_354",0
"NODE_355",0
"NODE_356",0
"NODE_357",0
"NODE_358",0
"NODE_359",0
"NODE_360",0
"NODE_361",0
"NODE_362",0
"NODE_363",0
"NODE_364",0
"NODE_365",0
"NODE_366",0
"NODE_367",0
"NODE_368",0
"NODE_369",0
"NODE_370",0
"NODE_371",0
"NODE_372",0
"NODE_373",0
"NODE_374",0
"NODE_375",0
"NODE_376",0
"NODE_377",0
"NODE_378",0
"NODE_379",0
"NODE_380",0
"NODE_381",0
"NODE_382",0
"NODE_383",0
"NODE_384",0
"NODE_385",0
"NODE_386",0
"NODE_387",0
"NODE_388",0
"NODE_389",0
