Species	Gene	NeutralA	NeutralT	NeutralG	NeutralC	GenerationLength_d	ECO.Maximum.longevity..yrs.	ECO.Body.mass..g.	ECO.Metabolic.rate..W.	ECO.Temperature..K.
Eubalaena_australis	ATP6	55	25	1	34	9855	70	NA	NA	NA
Enhydra_lutris	ATP6	50	22	5	30	5475	27	26832.8	98.479	310.65
Zalophus_californianus	ATP6	51	20	5	36	5306.69155	35.7	NA	NA	311.25
Globicephala_melas	ATP6	49	29	6	28	8760	60	NA	NA	NA
Giraffa_camelopardalis	ATP6	55	22	7	29	5251.01166657	39.5	NA	NA	310.25
Phoca_largha	ATP6	51	26	6	29	6935	NA	NA	NA	NA
Stenella_coeruleoalba	ATP6	48	31	4	28	7926.62525	57.5	NA	NA	NA
Mesoplodon_europaeus	ATP6	54	27	3	36	6460.5	48	NA	NA	NA
Sousa_chinensis	ATP6	47	29	4	30	7300	NA	NA	NA	NA
Caperea_marginata	ATP6	56	24	2	34	10278.51578	NA	NA	NA	NA
Pongo_abelii	ATP6	41	17	6	54	9125	NA	NA	NA	NA
Phoca_vitulina	ATP6	52	26	5	31	5413.68	47.6	27400	73.29	309.85
Neophocaena_phocaenoides	ATP6	51	21	2	41	6095.5	33	NA	NA	NA
Megaptera_novaeangliae	ATP6	53	25	1	36	8030	95	NA	NA	309.15
Cebus_albifrons	ATP6	53	25	2	36	5508.653	40.4	NA	NA	NA
Stenella_attenuata	ATP6	49	28	5	29	8395	46	NA	NA	NA
Dugong_dugon	ATP6	41	30	11	35	10246.2396	73	NA	NA	306.15
Hylobates_lar	ATP6	49	16	7	51	5475	56	NA	NA	NA
Monachus_schauinslandi	ATP8	24	3	1	4	5475	NA	NA	NA	NA
Rhinoceros_sondaicus	ATP8	28	4	2	6	5400.53	NA	NA	NA	NA
Balaenoptera_physalus	ATP8	24	5	0	8	9490	114	NA	NA	NA
Enhydra_lutris	ATP8	24	4	3	6	5475	27	26832.8	98.479	310.65
Hylobates_pileatus	ATP8	22	4	4	11	5475	38	NA	NA	NA
Cervus_elaphus	ATP8	22	3	1	4	5209.4516	31.5	67000	112.43	308.35
Pusa_hispida	ATP8	24	1	3	6	6803.8094	46	NA	NA	NA
Pan_paniscus	ATP8	22	3	0	12	9125	55	NA	NA	NA
Globicephala_macrorhynchus	ATP8	23	5	2	8	8650.5	63	NA	NA	NA
Tursiops_truncatus	ATP8	24	7	1	7	6427.88	51.6	NA	NA	NA
Gorilla_gorilla	ATP8	21	2	0	13	8030	55.4	NA	NA	308.65
Ursus_maritimus	ATP8	28	7	0	5	5475	43.8	NA	NA	309.95
Monodon_monoceros	ATP8	25	6	0	10	8760	50	NA	NA	NA
Balaenoptera_edeni	ATP8	23	5	0	8	10042.4483	72	NA	NA	NA
Eschrichtius_robustus	ATP8	24	5	0	9	10444.3345	77	NA	NA	NA
Macaca_silenus	ATP8	21	9	1	4	5509.018	40	NA	NA	NA
Eubalaena_japonica	ATP8	24	4	0	10	9704.4375	NA	NA	NA	NA
Mesoplodon_ginkgodens	ATP8	25	4	0	8	6460.5	NA	NA	NA	NA
Dicerorhinus_sumatrensis	ATP8	29	3	1	3	7300	32.8	NA	NA	NA
Ursus_arctos	ATP8	25	6	2	7	5976.26666657	40	NA	NA	310.45
Orcaella_heinsohni	ATP8	22	7	2	7	5475	NA	NA	NA	NA
Papio_hamadryas	ATP8	22	4	3	8	5332.504	37.5	12670.8	21.095	311.15
Macaca_fuscata	ATP8	21	5	3	7	5118.76	38.5	NA	NA	NA
Papio_cynocephalus	ATP8	22	4	3	8	6188.575	NA	NA	NA	NA
Phoca_largha	ATP8	24	2	4	5	6935	NA	NA	NA	NA
Cebus_albifrons	ATP8	24	4	2	3	5508.653	40.4	NA	NA	NA
Balaenoptera_musculus	ATP8	25	6	0	8	11315	110	NA	NA	NA
Eubalaena_australis	ATP8	24	4	0	10	9855	70	NA	NA	NA
Balaenoptera_bonaerensis	ATP8	25	3	0	10	8030	NA	NA	NA	NA
Camelus_ferus	ATP8	23	3	1	10	5840	NA	NA	NA	NA
Grampus_griseus	ATP8	23	5	1	9	7300	42.5	NA	NA	NA
Neophocaena_phocaenoides	ATP8	23	5	1	11	5840	33	NA	NA	NA
Balaenoptera_borealis	ATP8	23	5	0	8	8504.5	74	NA	NA	NA
Balaena_mysticetus	ATP8	25	4	0	10	18980	211	NA	NA	NA
Stenella_attenuata	ATP8	24	5	1	9	8395	46	NA	NA	NA
Erignathus_barbatus	ATP8	28	2	1	3	6935	NA	NA	NA	NA
Loxodonta_africana	ATP8	23	9	2	3	9125	65	NA	NA	309.35
Hylobates_lar	ATP8	23	3	3	11	5475	56	NA	NA	NA
Pusa_caspica	ATP8	24	2	2	5	5840	NA	NA	NA	NA
Hyperoodon_ampullatus	ATP8	24	6	0	5	6460.5	37	NA	NA	NA
Megaptera_novaeangliae	ATP8	24	6	0	9	8030	95	NA	NA	309.15
Trichechus_manatus	ATP8	20	10	1	7	7300	65	450000	70.0056	NA
Lobodon_carcinophaga	ATP8	26	2	2	4	5475	NA	NA	NA	NA
Rhinoceros_unicornis	ATP8	28	3	2	5	6851.98936657	43.5	NA	NA	310.55
Elephas_maximus	ATP8	22	9	3	3	8030	65.5	3672000	2336.5	308.95
Globicephala_melas	ATP8	23	5	2	8	8760	60	NA	NA	NA
Caperea_marginata	ATP8	22	8	0	6	10278.51578	NA	NA	NA	NA
Stenella_coeruleoalba	ATP8	22	6	2	8	7926.62525	57.5	NA	NA	NA
Papio_ursinus	ATP8	21	3	5	10	5714.3305	NA	NA	NA	NA
Ziphius_cavirostris	ATP8	26	5	0	7	6460.5	62	NA	NA	NA
Mesoplodon_europaeus	ATP8	24	6	0	6	6460.5	48	NA	NA	NA
Ceratotherium_simum	ATP8	30	5	1	4	6865.34583343	45	NA	NA	NA
Nomascus_leucogenys	ATP8	23	2	1	12	5475	NA	NA	NA	NA
Ailuropoda_melanoleuca	ATP8	25	4	0	4	5246.699416657	36.8	NA	NA	NA
Tursiops_aduncus	ATP8	24	8	1	6	6427.88	NA	NA	NA	NA
Feresa_attenuata	ATP8	23	6	1	9	7142.099015	NA	NA	NA	NA
Pongo_pygmaeus	ATP8	25	3	0	15	7300	59	NA	NA	NA
Hylobates_agilis	ATP8	24	2	2	15	5475	49	NA	NA	NA
Nomascus_siki	ATP8	23	2	1	12	5475	NA	NA	NA	NA
Dugong_dugon	ATP8	21	8	0	7	10246.2396	73	NA	NA	306.15
Phoca_vitulina	ATP8	23	3	4	4	5413.68	47.6	27400	73.29	309.85
Balaenoptera_omurai	ATP8	24	6	1	8	9016.737075	NA	NA	NA	NA
Ateles_belzebuth	ATP8	25	1	3	4	5475	37	NA	NA	NA
Balaenoptera_acutorostrata	ATP8	23	5	0	8	8030	50	NA	NA	NA
Pseudorca_crassidens	ATP8	23	4	2	11	7242.6075	62.5	NA	NA	309.75
Pongo_abelii	ATP8	25	3	0	14	9125	NA	NA	NA	NA
Berardius_bairdii	ATP8	26	11	0	3	9855	84	NA	NA	NA
Zalophus_californianus	ATP8	29	1	1	4	5306.69155	35.7	NA	NA	311.25
Diceros_bicornis	ATP8	29	4	1	3	6205	49	NA	NA	312.15
Giraffa_camelopardalis	ATP8	25	4	0	6	5251.01166657	39.5	NA	NA	310.25
Tachyglossus_aculeatus	ATP8	21	10	2	10	5687.0204	49.5	2909	2.327	303.85
Lagothrix_lagotricha	ATP8	24	2	4	4	5475	32	NA	NA	NA
Pusa_sibirica	ATP8	23	2	3	6	7898.81575	56	NA	NA	NA
Neophocaena_phocaenoides	ATP8	23	5	1	11	6095.5	33	NA	NA	NA
Mesoplodon_grayi	ATP8	24	6	0	5	6460.5	NA	NA	NA	NA
Pan_troglodytes	ATP8	21	0	1	15	7300	59.4	NA	NA	308.85
Sousa_chinensis	ATP8	24	6	0	8	7300	NA	NA	NA	NA
Peponocephala_electra	ATP8	23	4	2	11	8245.925	47	NA	NA	NA
Lagenorhynchus_albirostris	ATP8	23	6	1	7	5667.52995	NA	NA	NA	NA
Neophocaena_asiaeorientalis	ATP8	23	5	1	11	6095.5	NA	NA	NA	NA
Globicephala_macrorhynchus	COX1	125	69	11	59	8650.5	63	NA	NA	NA
Eubalaena_japonica	COX1	122	57	11	69	9704.4375	NA	NA	NA	NA
Hylobates_pileatus	COX1	92	38	20	117	5475	38	NA	NA	NA
Enhydra_lutris	COX1	123	61	29	49	5475	27	26832.8	98.479	310.65
Loxodonta_africana	COX1	109	91	13	49	9125	65	NA	NA	309.35
Dicerorhinus_sumatrensis	COX1	120	45	28	77	7300	32.8	NA	NA	NA
Papio_ursinus	COX1	85	51	23	102	5714.3305	NA	NA	NA	NA
Pongo_pygmaeus	COX1	95	37	18	112	7300	59	NA	NA	NA
Phoca_largha	COX1	115	54	29	69	6935	NA	NA	NA	NA
Stenella_coeruleoalba	COX1	119	77	9	50	7926.62525	57.5	NA	NA	NA
Diceros_bicornis	COX1	117	58	19	68	6205	49	NA	NA	312.15
Grampus_griseus	COX1	123	71	11	54	7300	42.5	NA	NA	NA
Dugong_dugon	COX1	97	58	39	76	10246.2396	73	NA	NA	306.15
Balaenoptera_acutorostrata	COX1	116	58	8	76	8030	50	NA	NA	NA
Eubalaena_australis	COX1	120	55	14	71	9855	70	NA	NA	NA
Ceratotherium_simum	COX1	113	59	26	70	6865.34583343	45	NA	NA	NA
Balaena_mysticetus	COX1	125	53	7	75	18980	211	NA	NA	NA
Peponocephala_electra	COX1	125	71	10	55	8245.925	47	NA	NA	NA
Monodon_monoceros	COX1	122	58	19	64	8760	50	NA	NA	NA
Balaenoptera_borealis	COX1	118	63	12	65	8504.5	74	NA	NA	NA
Rhinoceros_sondaicus	COX1	123	53	26	59	5400.53	NA	NA	NA	NA
Camelus_ferus	COX1	95	62	36	73	5840	NA	NA	NA	NA
Pongo_abelii	COX1	99	30	15	120	9125	NA	NA	NA	NA
Neophocaena_phocaenoides	COX1	101	72	35	59	6095.5	33	NA	NA	NA
Cebus_albifrons	COX1	100	74	20	67	5508.653	40.4	NA	NA	NA
Nomascus_siki	COX1	100	41	15	109	5475	NA	NA	NA	NA
Sousa_chinensis	COX1	122	74	8	51	7300	NA	NA	NA	NA
Neophocaena_asiaeorientalis	COX1	102	70	30	64	6095.5	NA	NA	NA	NA
Lagothrix_lagotricha	COX1	113	55	16	73	5475	32	NA	NA	NA
Pseudorca_crassidens	COX1	123	74	11	52	7242.6075	62.5	NA	NA	309.75
Ursus_maritimus	COX1	103	80	43	47	5475	43.8	NA	NA	309.95
Phoca_vitulina	COX1	115	53	31	70	5413.68	47.6	27400	73.29	309.85
Pusa_sibirica	COX1	113	54	32	69	7898.81575	56	NA	NA	NA
Feresa_attenuata	COX1	122	65	13	62	7142.099015	NA	NA	NA	NA
Globicephala_melas	COX1	125	67	11	60	8760	60	NA	NA	NA
Balaenoptera_physalus	COX1	121	57	13	69	9490	114	NA	NA	NA
Pusa_hispida	COX1	116	50	30	72	6803.8094	46	NA	NA	NA
Neophocaena_phocaenoides	COX1	101	72	35	59	5840	33	NA	NA	NA
Ailuropoda_melanoleuca	COX1	113	79	27	51	5246.699416657	36.8	NA	NA	NA
Cervus_elaphus	COX1	120	65	19	58	5209.4516	31.5	67000	112.43	308.35
Rhinoceros_unicornis	COX1	121	48	23	69	6851.98936657	43.5	NA	NA	310.55
Lagenorhynchus_albirostris	COX1	121	70	10	54	5667.52995	NA	NA	NA	NA
Zalophus_californianus	COX1	110	54	25	69	5306.69155	35.7	NA	NA	311.25
Hylobates_agilis	COX1	87	40	25	118	5475	49	NA	NA	NA
Caperea_marginata	COX1	121	68	12	60	10278.51578	NA	NA	NA	NA
Balaenoptera_bonaerensis	COX1	114	53	11	80	8030	NA	NA	NA	NA
Mesoplodon_ginkgodens	COX1	118	73	9	59	6460.5	NA	NA	NA	NA
Papio_hamadryas	COX1	81	56	25	93	5332.504	37.5	12670.8	21.095	311.15
Tursiops_aduncus	COX1	118	79	12	47	6427.88	NA	NA	NA	NA
Tachyglossus_aculeatus	COX1	101	80	13	80	5687.0204	49.5	2909	2.327	303.85
Berardius_bairdii	COX1	117	58	15	66	9855	84	NA	NA	NA
Mesoplodon_grayi	COX1	122	74	11	53	6460.5	NA	NA	NA	NA
Gorilla_gorilla	COX1	97	50	17	95	8030	55.4	NA	NA	308.65
Hyperoodon_ampullatus	COX1	115	59	15	69	6460.5	37	NA	NA	NA
Papio_cynocephalus	COX1	82	54	29	96	6188.575	NA	NA	NA	NA
Pan_troglodytes	COX1	97	45	17	102	7300	59.4	NA	NA	308.85
Ursus_arctos	COX1	103	79	42	48	5976.26666657	40	NA	NA	310.45
Balaenoptera_musculus	COX1	120	55	10	73	11315	110	NA	NA	NA
Balaenoptera_omurai	COX1	119	62	12	68	9016.737075	NA	NA	NA	NA
Macaca_fuscata	COX1	87	58	21	96	5118.76	38.5	NA	NA	NA
Lobodon_carcinophaga	COX1	125	68	13	55	5475	NA	NA	NA	NA
Ziphius_cavirostris	COX1	119	71	17	52	6460.5	62	NA	NA	NA
Pan_paniscus	COX1	99	52	16	95	9125	55	NA	NA	NA
Macaca_silenus	COX1	92	52	19	101	5509.018	40	NA	NA	NA
Orcaella_heinsohni	COX1	121	78	11	45	5475	NA	NA	NA	NA
Pusa_caspica	COX1	112	52	34	70	5840	NA	NA	NA	NA
Monachus_schauinslandi	COX1	127	71	10	52	5475	NA	NA	NA	NA
Tursiops_truncatus	COX1	119	76	12	50	6427.88	51.6	NA	NA	NA
Erignathus_barbatus	COX1	119	63	24	61	6935	NA	NA	NA	NA
Trichechus_manatus	COX1	89	69	34	82	7300	65	450000	70.0056	NA
Hylobates_lar	COX1	90	36	26	118	5475	56	NA	NA	NA
Balaenoptera_edeni	COX1	119	58	13	69	10042.4483	72	NA	NA	NA
Eschrichtius_robustus	COX1	121	55	8	72	10444.3345	77	NA	NA	NA
Elephas_maximus	COX1	102	94	17	48	8030	65.5	3672000	2336.5	308.95
Megaptera_novaeangliae	COX1	115	58	14	72	8030	95	NA	NA	309.15
Giraffa_camelopardalis	COX1	122	60	27	61	5251.01166657	39.5	NA	NA	310.25
Stenella_attenuata	COX1	121	79	11	47	8395	46	NA	NA	NA
Nomascus_leucogenys	COX1	102	39	12	111	5475	NA	NA	NA	NA
Mesoplodon_europaeus	COX1	119	71	11	55	6460.5	48	NA	NA	NA
Ateles_belzebuth	COX1	120	60	10	73	5475	37	NA	NA	NA
Ailuropoda_melanoleuca	COX2	57	23	10	17	5246.699416657	36.8	NA	NA	NA
Eubalaena_japonica	COX2	54	18	7	28	9704.4375	NA	NA	NA	NA
Globicephala_melas	COX2	54	24	2	28	8760	60	NA	NA	NA
Monodon_monoceros	COX2	49	18	10	34	8760	50	NA	NA	NA
Dugong_dugon	COX2	50	20	13	26	10246.2396	73	NA	NA	306.15
Hylobates_agilis	COX2	46	18	10	44	5475	49	NA	NA	NA
Elephas_maximus	COX2	52	27	3	22	8030	65.5	3672000	2336.5	308.95
Mesoplodon_ginkgodens	COX2	55	22	4	25	6460.5	NA	NA	NA	NA
Papio_hamadryas	COX2	51	19	10	37	5332.504	37.5	12670.8	21.095	311.15
Pongo_pygmaeus	COX2	50	18	4	44	7300	59	NA	NA	NA
Pusa_hispida	COX2	62	14	4	27	6803.8094	46	NA	NA	NA
Zalophus_californianus	COX2	54	26	6	23	5306.69155	35.7	NA	NA	311.25
Loxodonta_africana	COX2	51	30	5	19	9125	65	NA	NA	309.35
Phoca_largha	COX2	59	14	8	27	6935	NA	NA	NA	NA
Ateles_belzebuth	COX2	48	24	5	26	5475	37	NA	NA	NA
Gorilla_gorilla	COX2	49	20	6	42	8030	55.4	NA	NA	308.65
Tursiops_truncatus	COX2	51	26	2	27	6427.88	51.6	NA	NA	NA
Berardius_bairdii	COX2	54	21	2	29	9855	84	NA	NA	NA
Neophocaena_asiaeorientalis	COX2	50	14	4	32	6095.5	NA	NA	NA	NA
Eubalaena_australis	COX2	58	16	2	31	9855	70	NA	NA	NA
Hylobates_lar	COX2	45	23	13	40	5475	56	NA	NA	NA
Erignathus_barbatus	COX2	60	18	4	24	6935	NA	NA	NA	NA
Pusa_sibirica	COX2	57	16	9	26	7898.81575	56	NA	NA	NA
Enhydra_lutris	COX2	44	22	11	31	5475	27	26832.8	98.479	310.65
Phoca_vitulina	COX2	57	12	10	29	5413.68	47.6	27400	73.29	309.85
Camelus_ferus	COX2	43	20	17	30	5840	NA	NA	NA	NA
Stenella_attenuata	COX2	51	23	2	31	8395	46	NA	NA	NA
Papio_ursinus	COX2	52	20	6	38	5714.3305	NA	NA	NA	NA
Balaena_mysticetus	COX2	56	20	3	27	18980	211	NA	NA	NA
Balaenoptera_borealis	COX2	59	9	4	33	8504.5	74	NA	NA	NA
Papio_cynocephalus	COX2	51	18	10	37	6188.575	NA	NA	NA	NA
Ursus_arctos	COX2	48	20	19	23	5976.26666657	40	NA	NA	310.45
Pongo_abelii	COX2	47	19	8	42	9125	NA	NA	NA	NA
Macaca_fuscata	COX2	52	24	11	31	5118.76	38.5	NA	NA	NA
Lobodon_carcinophaga	COX2	60	17	4	24	5475	NA	NA	NA	NA
Peponocephala_electra	COX2	55	19	1	33	8245.925	47	NA	NA	NA
Caperea_marginata	COX2	57	20	5	29	10278.51578	NA	NA	NA	NA
Grampus_griseus	COX2	53	18	3	33	7300	42.5	NA	NA	NA
Rhinoceros_unicornis	COX2	54	16	9	29	6851.98936657	43.5	NA	NA	310.55
Neophocaena_phocaenoides	COX2	49	20	8	29	5840	33	NA	NA	NA
Macaca_silenus	COX2	56	20	7	33	5509.018	40	NA	NA	NA
Neophocaena_phocaenoides	COX2	49	20	8	29	6095.5	33	NA	NA	NA
Stenella_coeruleoalba	COX2	52	22	2	31	7926.62525	57.5	NA	NA	NA
Sousa_chinensis	COX2	50	24	3	28	7300	NA	NA	NA	NA
Cebus_albifrons	COX2	55	16	3	29	5508.653	40.4	NA	NA	NA
Balaenoptera_edeni	COX2	58	11	4	34	10042.4483	72	NA	NA	NA
Balaenoptera_acutorostrata	COX2	59	13	2	31	8030	50	NA	NA	NA
Globicephala_macrorhynchus	COX2	54	24	2	29	8650.5	63	NA	NA	NA
Dicerorhinus_sumatrensis	COX2	58	16	6	31	7300	32.8	NA	NA	NA
Ceratotherium_simum	COX2	60	18	5	24	6865.34583343	45	NA	NA	NA
Megaptera_novaeangliae	COX2	60	13	3	33	8030	95	NA	NA	309.15
Mesoplodon_grayi	COX2	56	27	1	21	6460.5	NA	NA	NA	NA
Balaenoptera_bonaerensis	COX2	57	13	3	30	8030	NA	NA	NA	NA
Balaenoptera_musculus	COX2	59	14	3	30	11315	110	NA	NA	NA
Lagenorhynchus_albirostris	COX2	55	23	3	27	5667.52995	NA	NA	NA	NA
Pseudorca_crassidens	COX2	54	20	1	32	7242.6075	62.5	NA	NA	309.75
Lagothrix_lagotricha	COX2	52	23	3	28	5475	32	NA	NA	NA
Hylobates_pileatus	COX2	47	18	9	45	5475	38	NA	NA	NA
Nomascus_leucogenys	COX2	51	17	3	50	5475	NA	NA	NA	NA
Tursiops_aduncus	COX2	52	23	2	29	6427.88	NA	NA	NA	NA
Pan_paniscus	COX2	48	23	5	44	9125	55	NA	NA	NA
Cervus_elaphus	COX2	61	23	8	14	5209.4516	31.5	67000	112.43	308.35
Pusa_caspica	COX2	61	15	6	26	5840	NA	NA	NA	NA
Nomascus_siki	COX2	51	17	3	50	5475	NA	NA	NA	NA
Diceros_bicornis	COX2	56	17	6	26	6205	49	NA	NA	312.15
Balaenoptera_omurai	COX2	58	17	3	30	9016.737075	NA	NA	NA	NA
Giraffa_camelopardalis	COX2	68	17	8	15	5251.01166657	39.5	NA	NA	310.25
Balaenoptera_physalus	COX2	61	15	1	30	9490	114	NA	NA	NA
Ziphius_cavirostris	COX2	54	25	2	26	6460.5	62	NA	NA	NA
Hyperoodon_ampullatus	COX2	58	22	2	24	6460.5	37	NA	NA	NA
Eschrichtius_robustus	COX2	58	12	4	32	10444.3345	77	NA	NA	NA
Mesoplodon_europaeus	COX2	55	23	7	23	6460.5	48	NA	NA	NA
Trichechus_manatus	COX2	49	22	10	29	7300	65	450000	70.0056	NA
Feresa_attenuata	COX2	53	24	1	29	7142.099015	NA	NA	NA	NA
Tachyglossus_aculeatus	COX2	49	23	2	33	5687.0204	49.5	2909	2.327	303.85
Monachus_schauinslandi	COX2	62	25	2	19	5475	NA	NA	NA	NA
Rhinoceros_sondaicus	COX2	56	16	6	28	5400.53	NA	NA	NA	NA
Ursus_maritimus	COX2	50	17	17	25	5475	43.8	NA	NA	309.95
Pan_troglodytes	COX2	48	25	5	41	7300	59.4	NA	NA	308.85
Orcaella_heinsohni	COX2	57	23	0	27	5475	NA	NA	NA	NA
Orcaella_heinsohni	COX3	62	27	4	41	5475	NA	NA	NA	NA
Balaenoptera_musculus	COX3	62	27	0	43	11315	110	NA	NA	NA
Balaenoptera_bonaerensis	COX3	65	27	4	40	8030	NA	NA	NA	NA
Pan_troglodytes	COX3	59	18	6	56	7300	59.4	NA	NA	308.85
Eubalaena_japonica	COX3	62	26	5	39	9704.4375	NA	NA	NA	NA
Stenella_attenuata	COX3	62	28	1	43	8395	46	NA	NA	NA
Erignathus_barbatus	COX3	63	22	5	40	6935	NA	NA	NA	NA
Stenella_coeruleoalba	COX3	63	29	1	41	7926.62525	57.5	NA	NA	NA
Balaenoptera_acutorostrata	COX3	65	25	3	41	8030	50	NA	NA	NA
Hyperoodon_ampullatus	COX3	61	28	5	43	6460.5	37	NA	NA	NA
Papio_hamadryas	COX3	57	20	7	51	5332.504	37.5	12670.8	21.095	311.15
Pusa_caspica	COX3	60	25	5	43	5840	NA	NA	NA	NA
Caperea_marginata	COX3	59	27	5	42	10278.51578	NA	NA	NA	NA
Mesoplodon_grayi	COX3	59	40	4	31	6460.5	NA	NA	NA	NA
Balaenoptera_physalus	COX3	61	23	1	48	9490	114	NA	NA	NA
Pongo_pygmaeus	COX3	58	15	10	56	7300	59	NA	NA	NA
Globicephala_melas	COX3	64	26	2	46	8760	60	NA	NA	NA
Trichechus_manatus	COX3	53	27	14	41	7300	65	450000	70.0056	NA
Dicerorhinus_sumatrensis	COX3	63	18	5	51	7300	32.8	NA	NA	NA
Tursiops_aduncus	COX3	64	30	0	40	6427.88	NA	NA	NA	NA
Peponocephala_electra	COX3	63	25	2	47	8245.925	47	NA	NA	NA
Lagenorhynchus_albirostris	COX3	63	29	1	41	5667.52995	NA	NA	NA	NA
Dugong_dugon	COX3	53	24	12	51	10246.2396	73	NA	NA	306.15
