first;second;at;ag;ac;ta;tg;tc;ga;gt;gc;ca;ct;cg
30248;29960;1;6;0;0;0;6;9;0;0;0;13;1
16080;12643;0;1;0;0;0;0;0;0;0;0;0;0
1310;AM_PE_0300;0;3;1;0;0;1;3;0;0;0;0;0
6359;XX_XX_8137;0;2;0;0;0;3;2;0;0;0;8;0
6837;XX_XX_5522;0;4;0;0;0;3;0;0;0;0;1;0
25179;24248;0;2;0;0;0;2;0;0;0;0;1;0
22541;XX_XX_6990;0;3;0;0;0;3;0;0;0;0;0;0
8259;AF_ET_0017;1;13;1;0;0;19;3;0;0;0;15;2
9098;1118;0;1;0;0;0;0;0;0;0;0;1;0
29331;14379;0;2;0;0;0;0;1;0;0;0;0;0
20016;17913;0;1;0;0;0;0;0;0;0;0;0;0
7931;EU_IT_2132;1;2;0;0;0;2;1;1;0;1;2;0
17096;14009;0;1;0;0;0;2;1;0;0;0;0;0
25372;7023;0;1;0;1;0;0;0;0;0;0;2;0
17299;EU_DK_1331;0;1;0;0;0;2;1;0;0;0;4;0
18118;15419;0;0;0;0;0;0;0;0;0;0;2;0
1543;AS_TW_0442;0;2;0;0;0;9;4;0;0;0;1;0
30052;29748;0;0;0;0;0;1;0;0;0;0;0;0
10206;OC_SB_0311;0;2;0;0;0;0;1;0;0;0;1;0
2855;EU_RU_0701;0;1;0;0;0;1;0;0;0;0;1;0
32978;XX_XX_2672;0;1;0;0;0;2;0;0;0;0;1;0
14322;9990;0;1;0;0;0;0;0;0;0;0;1;0
32413;XX_XX_8305;0;2;0;0;0;1;3;0;0;1;3;0
1233;XX_XX_8374;0;6;0;0;0;3;3;0;0;0;2;0
23041;EU_ES_0678;0;1;0;0;0;1;2;0;0;1;0;0
22499;16802;0;2;0;0;0;5;0;0;0;0;1;1
30445;30171;1;1;0;0;0;3;2;0;0;0;2;0
7246;EU_IT_2285;0;1;0;0;0;3;1;0;0;0;1;0
29362;AS_XX_0143;0;5;0;0;0;5;4;0;0;0;5;0
17682;14844;0;1;0;0;0;2;2;0;0;2;0;0
10230;OC_SB_0002;0;0;0;0;0;1;1;0;0;0;1;0
2396;XX_XX_12819;0;0;0;0;0;0;4;0;0;0;1;0
16292;AS_JO_0004;0;2;1;0;0;4;1;0;0;0;7;0
32329;EU_IE_0078;0;2;0;0;0;0;0;0;0;0;0;0
1664;XX_XX_10750;0;1;0;0;0;5;0;0;0;1;3;0
24782;1250;0;1;0;0;0;2;2;0;0;1;0;0
6947;XX_XX_4355;0;1;0;0;0;0;0;0;0;0;1;0
18389;15781;0;0;0;4;0;18;0;0;0;0;1;0
51;AF_NA_0130;0;2;0;0;0;0;1;0;0;0;0;0
13188;8300;0;1;0;0;0;0;0;0;0;0;0;0
10401;AM_MX_0027;0;3;1;0;0;6;2;0;0;0;3;0
22738;21299;0;2;0;2;0;4;6;0;0;13;7;0
35274;35242;1;1;0;0;0;1;1;0;0;0;1;0
24535;AM_CA_0090;0;2;0;0;0;3;1;0;0;0;1;0
3078;OC_TV_0021;0;1;0;0;0;3;2;0;0;0;0;0
7875;AF_TD_0026;0;2;0;0;0;2;1;0;0;0;3;0
30552;30286;0;3;2;0;0;4;1;0;0;0;2;0
16211;12822;0;0;0;0;0;0;0;0;0;0;1;0
27244;EU_XX_0416;0;2;0;0;0;0;0;0;0;0;1;0
31797;31618;0;0;0;0;0;0;0;0;0;1;1;0
32963;32846;0;3;1;1;0;5;1;0;0;0;4;0
17540;EU_RU_0655;1;1;0;1;0;5;1;0;0;0;1;0
24839;22632;0;0;0;0;0;0;0;0;0;0;1;0
32861;EU_CZ_0036;0;2;0;0;0;3;0;0;0;0;1;0
34634;17333;0;2;0;0;0;2;0;0;0;0;1;0
14369;10062;0;1;0;0;0;1;1;0;0;0;0;0
10076;EU_ES_0683;0;0;0;0;0;2;0;0;0;0;0;0
33346;33244;0;2;0;0;0;4;0;0;0;0;0;0
32232;32072;0;1;0;0;0;0;0;0;0;0;0;0
9017;967;0;0;0;0;0;4;0;0;0;0;0;0
8992;EU_RU_1653;0;3;0;0;0;1;2;0;0;0;5;0
20184;18118;0;0;0;0;0;0;0;0;0;0;0;1
14554;AF_AO_0346;0;0;0;0;0;1;4;0;0;0;2;0
28286;EU_DK_0491;0;2;0;0;0;3;1;0;0;0;0;0
7367;AS_IR_0270;1;1;1;1;0;4;1;0;0;0;2;0
18940;16525;0;1;0;0;0;1;2;0;0;0;3;0
16223;12837;0;1;0;0;0;2;0;0;0;0;0;0
18053;15335;0;0;0;0;0;2;0;0;0;0;5;0
29484;29128;0;1;0;0;1;1;5;0;0;0;1;0
4796;EU_ES_0231;0;2;0;0;0;3;0;0;0;0;3;0
22;AF_ZA_0021;0;0;0;0;0;0;1;0;0;0;0;0
410;AS_TW_0648;0;1;0;0;0;2;1;0;0;1;3;0
36093;36088;0;0;0;0;0;0;3;0;0;0;2;0
10561;XX_XX_13421;0;1;0;0;0;2;0;0;0;0;1;0
20546;18566;0;0;0;0;0;2;2;0;0;0;2;0
19501;17236;0;1;1;0;0;1;0;0;0;1;1;0
16911;13760;0;4;0;0;1;0;2;0;0;0;4;0
23237;5980;0;0;0;0;0;1;0;0;0;0;2;0
35173;AS_XX_0020;0;3;0;0;1;1;2;1;0;0;2;0
2548;EU_DK_0293;0;1;0;0;0;2;2;0;0;0;1;0
5276;EU_DE_0038;0;3;0;0;0;7;0;0;0;0;1;0
22861;AM_MX_0048;1;5;0;0;0;3;4;0;0;0;1;0
18850;16399;0;1;0;0;0;0;0;0;0;0;1;0
23348;XX_XX_0751;0;3;0;1;0;1;5;0;0;0;6;0
33525;20403;0;1;0;0;0;4;3;0;0;0;11;0
2433;EU_RU_1494;0;1;0;0;0;3;2;0;0;0;0;0
19225;XX_XX_12538;0;3;0;0;0;5;3;0;0;0;2;0
32769;AS_UZ_0004;0;0;0;0;0;0;1;0;0;0;0;0
35877;AM_PE_0343;0;5;0;0;0;0;0;0;0;0;0;0
1512;XX_XX_0622;0;5;0;0;0;1;1;0;0;0;2;0
23146;21789;0;0;0;0;0;1;0;0;0;0;0;0
13616;AS_JP_0337;0;0;0;0;0;4;5;0;0;0;4;0
2945;EU_IT_1104;0;3;0;0;0;1;1;0;0;0;3;0
32355;AS_IR_0171;0;2;0;0;1;5;1;0;0;0;3;0
4365;EU_IT_2082;0;1;0;0;0;4;2;0;1;0;2;0
503;AS_IN_0610;0;3;0;0;0;7;7;0;0;1;4;0
1381;EU_RU_0843;0;0;0;0;0;2;0;0;0;0;0;0
1976;XX_XX_10640;0;5;0;0;0;6;3;0;0;0;2;0
33656;33563;0;0;2;0;0;1;0;0;0;1;2;0
12659;7361;0;0;0;0;0;0;1;0;0;0;0;0
552;XX_XX_7819;0;2;0;0;0;2;2;0;0;0;2;0
31769;13769;0;0;0;0;0;4;2;0;0;0;1;0
6416;EU_DK_1877;0;0;1;1;0;3;4;0;0;0;4;0
5512;EU_GB_0086;0;0;0;0;0;1;2;0;0;0;3;0
25801;XX_XX_4858;0;2;1;0;0;2;1;1;0;0;3;0
10855;EU_BA_0005;0;0;0;0;0;2;1;0;0;0;1;0
8281;AF_GA_0001;0;1;0;0;0;1;0;0;0;0;1;0
13060;8060;0;1;0;0;0;1;1;0;0;0;0;0
27024;26391;0;3;1;0;0;8;7;0;0;0;2;0
26607;25913;0;0;0;0;0;1;1;0;0;0;1;0
12600;7256;0;0;0;0;0;1;0;0;0;0;0;0
20356;18341;0;0;0;0;0;2;1;0;0;0;4;0
903;AM_PE_0215;0;3;1;0;1;4;5;0;0;0;3;0
12931;7822;0;1;0;0;0;0;0;0;0;0;0;0
17348;EU_XX_0579;0;1;0;0;0;0;0;0;0;0;0;1
17678;4030;0;0;1;0;0;3;0;0;0;0;0;0
5698;XX_XX_1922;0;0;0;0;0;2;1;0;0;0;2;0
25108;AS_TR_0178;0;1;1;0;0;3;2;0;0;0;1;0
1544;XX_XX_13359;0;3;0;0;0;5;4;0;0;0;3;0
21024;19175;0;1;0;0;0;1;1;0;0;0;0;0
18922;16500;0;2;0;0;0;2;4;0;0;0;6;0
33926;XX_XX_2442;2;3;11;0;0;3;1;0;0;1;1;0
18926;XX_XX_9612;0;4;2;0;0;2;3;0;0;0;2;0
27036;21177;0;5;0;0;1;5;6;0;0;0;9;1
3052;OC_SB_0507;0;2;0;0;0;0;2;0;0;0;0;0
28236;27767;0;0;0;0;0;0;1;0;0;0;1;0
1446;XX_XX_4510;0;2;0;0;0;3;3;0;0;0;4;0
512;AM_US_0374;0;0;0;0;0;3;1;0;0;0;4;0
26887;AF_BW_0364;0;2;0;0;0;3;1;0;0;1;1;0
34149;AM_US_0784;0;0;1;0;0;2;1;0;0;0;1;0
20307;AS_IN_1088;0;3;0;0;0;2;3;0;0;0;2;0
15105;EU_IT_0882;0;0;0;0;0;0;0;0;0;0;0;0
12140;EU_IT_0896;0;1;0;0;0;2;0;0;0;0;1;0
35421;35396;0;2;0;0;0;4;3;0;0;0;4;0
25586;24731;0;0;0;0;0;0;0;0;0;0;2;0
28221;27751;0;1;0;0;0;4;1;0;0;1;1;0
21980;20369;0;0;0;0;0;0;0;0;0;0;1;0
19595;2824;0;0;0;0;1;2;0;0;0;0;1;0
14810;3950;0;0;0;0;0;4;0;0;0;0;0;0
23174;15401;0;1;0;0;0;1;0;0;0;0;2;0
31376;31176;0;0;0;0;0;1;0;0;0;1;1;0
34346;31047;0;2;0;0;0;2;0;0;0;0;2;0
20194;EU_NO_0001;0;0;1;0;0;1;0;0;0;0;3;0
2583;EU_IT_0426;1;1;0;0;0;6;3;0;0;0;5;0
16694;13475;0;1;0;2;0;0;1;0;0;0;1;0
11407;EU_PL_0265;0;2;0;0;0;3;0;0;0;0;2;0
20589;XX_XX_3191;0;0;0;0;0;0;1;0;0;0;1;0
4818;EU_PL_0453;0;1;0;0;0;2;1;0;0;1;1;0
15853;XX_XX_2515;1;3;0;1;0;4;4;0;1;0;3;0
14360;2748;0;0;0;0;0;0;0;0;0;0;1;0
12229;6598;0;1;0;0;0;0;0;0;0;0;0;0
3514;XX_XX_4410;0;1;0;0;0;1;2;0;0;0;4;0
13995;AS_IN_0124;1;3;1;0;0;5;6;0;0;0;2;1
712;EU_BY_0058;0;1;0;0;0;2;3;0;0;0;1;0
4632;XX_XX_1874;0;1;1;0;0;3;1;0;0;0;0;0
24945;23971;0;0;0;0;0;0;2;0;0;0;0;0
13633;8984;0;2;0;0;0;2;3;0;0;0;0;0
29825;29504;0;1;0;0;0;1;1;0;0;0;0;0
12288;AM_MX_0016;1;1;0;0;0;5;5;0;0;0;4;1
17609;14748;0;1;0;0;0;2;0;0;0;0;1;0
11254;XX_XX_0287;0;1;0;0;0;5;2;0;0;0;1;0
20508;EU_ES_0015;0;4;1;0;0;3;5;0;0;0;3;1
10852;AS_TH_0240;0;3;0;0;0;3;7;0;0;0;1;0
18813;13020;0;4;0;0;0;19;10;0;0;0;9;1
16667;AS_TW_0382;0;0;0;0;0;0;0;0;0;1;0;0
26174;16153;0;4;1;0;0;4;1;0;0;0;1;0
7007;AS_IN_0959;0;10;1;0;2;8;14;0;0;0;10;0
23266;21946;0;8;0;0;0;6;2;0;1;1;9;0
34981;34939;0;1;0;0;0;0;0;0;0;0;1;0
16340;AF_ET_0089;2;15;1;1;0;10;5;0;1;1;13;1
11447;XX_XX_4203;0;0;0;1;0;3;2;0;0;0;7;0
34220;34152;0;1;0;0;0;1;1;0;0;0;1;0
16442;AF_XX_0158;0;3;0;0;0;4;7;0;0;2;2;0
30610;EU_FI_0008;0;2;0;0;0;2;2;0;0;0;1;0
5451;EU_DK_0910;0;0;0;0;0;3;1;0;0;0;0;0
32989;5438;0;0;0;0;0;1;0;0;0;0;0;0
5643;AM_US_0104;0;3;0;0;0;2;0;0;0;0;1;0
16393;13072;0;0;0;0;0;1;0;0;0;0;0;0
216;XX_XX_10272;0;11;0;0;0;15;6;1;0;1;9;0
26996;XX_XX_10168;0;0;0;0;0;2;0;0;0;0;0;0
4091;AS_CN_0578;0;3;0;0;0;2;0;0;0;0;2;0
33808;AF_NA_0054;1;6;0;0;0;1;1;0;0;0;7;1
3466;AS_XX_0015;0;6;0;0;0;3;2;0;0;0;6;0
33344;33242;0;0;0;0;0;1;1;0;0;0;0;0
181;XX_XX_4274;0;3;0;0;0;3;4;0;0;0;5;0
16415;13110;0;2;0;0;0;3;2;0;0;1;1;0
29955;29643;0;3;1;0;1;3;2;0;0;0;3;0
15613;AS_IN_1085;0;0;0;0;0;2;1;0;0;0;0;0
35147;35112;0;0;0;1;0;0;0;0;0;0;1;0
14033;9570;0;0;2;0;0;0;1;0;0;0;3;0
26622;11256;0;0;0;0;0;2;1;0;0;0;3;0
6869;EU_RU_0393;0;0;0;0;0;1;0;0;0;0;1;0
11344;XX_XX_4205;0;2;0;0;0;3;0;0;0;0;2;0
2965;EU_RU_1415;0;7;0;0;0;5;8;0;0;3;2;0
31327;31125;0;0;0;0;0;1;0;0;0;0;3;0
35202;32199;0;0;0;0;0;3;2;0;0;0;0;0
4085;XX_XX_12139;0;1;0;0;0;4;1;0;0;0;1;0
13710;AS_CN_0054;0;3;0;0;0;3;1;0;0;0;6;0
13890;1601;0;1;0;0;0;0;0;0;0;0;4;0
17890;EU_IT_0856;0;3;0;0;0;2;1;0;0;1;2;0
7735;XX_XX_0069;0;3;1;0;1;5;2;0;0;0;0;2
8415;AF_BW_0426;0;1;0;0;0;0;0;0;0;1;1;0
35122;35086;0;1;0;0;0;2;0;0;0;0;1;0
25111;15055;0;2;0;0;0;2;2;0;0;0;0;0
20355;18340;0;1;0;0;0;4;2;0;0;0;0;0
32718;OC_CK_0025;0;3;0;0;0;0;0;0;0;0;0;0
17779;14966;0;1;0;0;0;0;0;0;0;0;0;0
5649;EU_DK_1689;0;0;0;0;0;5;1;0;0;0;1;0
9191;1300;0;0;0;0;0;0;1;0;0;0;0;0
12256;EU_FI_0548;0;0;0;0;0;0;1;0;0;0;1;0
10300;3201;0;2;0;0;0;0;0;0;0;0;0;0
36201;OC_SB_0131;0;0;0;0;0;0;1;0;0;0;1;0
32795;32669;0;1;0;0;0;1;0;0;0;0;1;0
15361;EU_FI_0401;0;4;0;0;0;4;2;0;0;0;2;0
35272;31349;0;5;0;0;0;2;2;0;0;1;2;0
1153;AS_JP_0324;0;0;0;0;0;2;3;0;0;0;1;0
14892;4166;0;0;0;0;0;0;2;0;0;0;0;0
7566;EU_RU_0002;0;0;0;0;0;1;2;0;0;0;0;0
32376;XX_XX_13808;0;1;0;0;0;1;2;0;0;0;0;0
10410;3396;0;1;0;0;0;1;1;0;0;1;1;0
26965;26324;0;5;0;0;0;9;4;0;0;0;8;0
339;AF_AO_0196;0;0;0;0;0;2;0;0;0;0;2;0
33191;EU_GB_0635;0;0;0;0;0;1;0;0;0;0;0;0
25572;8796;0;3;1;1;0;3;4;0;0;1;6;0
6161;XX_XX_3069;0;1;0;0;0;2;1;0;0;0;1;0
18797;16329;0;3;0;0;0;4;0;0;0;0;2;0
556;AS_JP_0188;0;5;0;0;0;7;7;0;0;1;4;0
8547;AF_ZM_0595;0;2;0;0;0;2;2;0;1;1;1;0
9959;EU_BG_0004;1;3;0;0;0;1;1;0;0;0;1;0
35700;35684;0;1;1;0;0;0;2;0;0;0;4;0
11813;5881;0;1;0;0;0;0;0;0;0;0;0;0
7935;AF_ZM_0630;0;1;0;0;1;0;0;0;0;0;2;0
19627;17409;0;1;0;0;0;0;0;0;0;0;1;0
1542;AS_KH_0081;0;8;0;0;0;7;7;0;0;1;15;0
13231;AF_NG_0112;0;0;0;0;0;0;3;0;0;0;4;0
34820;34771;0;1;0;0;0;2;0;0;0;0;0;0
7305;EU_FI_0439;0;0;0;0;0;4;3;0;1;0;3;0
24350;23244;0;1;0;0;0;0;0;0;0;0;1;0
14890;AS_TH_0018;0;0;0;0;0;1;3;0;0;0;2;0
23011;AM_US_0351;0;1;0;0;0;2;1;0;0;0;1;0
35668;35651;0;2;0;0;0;1;1;0;0;0;0;0
30739;800;0;0;0;0;0;1;0;0;0;0;0;0
3562;AS_ID_0071;0;2;1;0;0;3;3;0;0;0;3;0
1802;XX_XX_7016;0;1;1;0;0;9;5;0;0;2;2;0
16237;AS_IR_0051;0;3;0;0;0;3;0;1;0;0;3;0
12738;AM_PE_0444;0;1;0;0;0;2;3;0;0;0;4;0
26317;25580;0;1;1;0;0;0;0;0;0;0;0;0
6525;XX_XX_4144;0;2;16;0;0;1;2;0;0;0;1;0
17038;13932;0;0;0;0;0;2;3;0;0;0;2;0
3628;XX_XX_5670;0;5;2;0;0;1;5;0;0;0;3;0
33510;5454;0;1;0;0;0;3;0;0;0;0;0;0
31268;31059;0;0;0;0;0;0;1;0;0;0;0;0
3775;AS_ID_0076;0;0;0;0;0;1;1;0;0;0;2;0
14268;9911;0;1;0;0;0;0;3;0;0;1;3;0
4004;XX_XX_6016;0;0;0;0;0;1;3;0;0;0;0;0
4352;AF_BF_0369;0;0;0;0;0;0;4;0;0;0;0;0
19325;17014;0;0;0;0;1;0;0;0;0;0;0;0
18045;XX_XX_1927;0;3;0;0;0;2;2;0;0;0;1;0
5911;EU_DK_1181;1;1;0;0;0;1;1;0;0;0;2;0
31667;11353;0;1;0;0;0;0;0;0;0;0;0;0
28375;EU_GB_0078;0;0;0;0;0;3;0;0;0;0;0;0
1492;EU_RU_0541;0;4;0;0;0;1;1;0;0;0;5;0
7587;AM_PE_0485;0;4;0;0;0;4;2;0;0;0;3;0
25740;EU_PL_0379;0;0;0;0;0;2;0;0;0;0;3;0
13340;170;1;0;0;0;0;0;0;0;0;0;1;0
23454;XX_XX_0579;0;1;0;0;0;0;1;0;0;0;0;0
2598;EU_GR_0065;1;0;0;0;0;5;2;0;0;0;1;0
2503;EU_RU_0685;0;3;0;0;0;2;2;0;0;0;2;0
18495;15913;0;2;0;0;0;2;4;0;0;1;2;0
30268;29981;0;0;0;0;0;1;1;0;0;0;1;0
28599;EU_IT_0065;0;4;0;0;0;4;4;0;0;0;0;0
1630;XX_XX_5600;0;3;0;0;0;8;6;0;0;0;4;0
34018;11676;0;1;0;0;0;1;2;0;0;0;2;0
25199;24271;0;1;0;0;0;3;2;0;0;0;1;0
15444;XX_XX_0584;0;3;0;0;0;0;4;0;0;0;0;0
3957;AS_CN_0520;0;1;0;0;0;4;1;0;0;0;8;0
22343;AF_ZM_0301;0;0;0;0;0;0;1;0;0;0;0;0
12486;EU_DK_1140;0;2;1;0;0;4;1;0;0;0;3;1
14924;XX_XX_2772;0;2;0;0;0;3;5;0;0;0;3;0
34980;34938;0;1;0;0;0;0;0;0;0;0;2;0
27913;7185;0;2;0;1;0;3;2;0;0;0;2;0
12916;AF_KE_0003;0;0;0;0;0;1;0;0;0;0;0;0
20744;18819;0;2;0;0;0;4;1;0;0;0;4;0
13693;9075;0;2;0;0;0;1;0;0;0;0;2;0
28398;18739;0;1;0;0;1;2;2;0;0;0;4;0
13175;XX_XX_5683;0;0;0;0;0;1;2;0;0;0;2;0
22784;21356;0;1;3;0;0;1;1;0;0;2;6;0
4475;XX_XX_2654;0;0;0;0;0;1;1;0;0;0;3;0
10021;EU_XX_0355;0;1;0;0;0;0;1;0;1;0;0;0
31453;XX_XX_3153;0;0;0;0;0;1;1;0;0;0;0;0
20781;AM_US_0275;0;0;0;1;0;4;2;0;0;0;2;0
15349;EU_GB_0322;0;2;0;0;0;0;1;0;0;0;0;0
15857;EU_IT_2368;0;2;0;0;0;3;0;0;0;0;0;0
22366;AF_BW_0198;0;0;0;0;0;1;1;0;0;0;2;0
19795;17619;0;0;0;0;0;1;0;0;0;0;0;0
6310;EU_BY_0034;0;1;0;0;0;0;0;0;0;0;0;0
6599;XX_XX_2974;0;1;0;0;0;0;0;0;0;0;1;0
12707;7445;0;1;0;0;0;0;0;0;0;0;0;0
7511;AM_MX_0022;0;1;0;1;0;3;3;0;0;0;2;0
10125;EU_DK_0103;0;2;0;0;0;0;1;0;0;0;4;0
13730;AS_BD_0019;0;0;0;0;0;2;2;0;0;0;0;0
2813;AS_IR_0002;0;1;0;0;0;1;0;0;0;0;2;0
16229;12846;0;2;0;0;0;2;2;0;0;0;1;0
18224;EU_DE_0280;0;2;0;0;0;0;0;0;0;0;0;0
33574;33479;0;0;0;0;0;1;2;0;0;0;1;0
26212;AM_DO_0032;0;3;0;0;0;1;2;0;0;0;0;0
30434;30158;0;0;0;0;0;0;0;0;0;0;2;0
11952;6114;0;1;0;1;0;3;4;0;0;0;5;0
1670;AS_IN_0342;0;1;0;0;0;1;0;0;0;0;1;0
32472;EU_ES_0191;0;2;0;0;0;2;2;0;0;0;6;0
8513;AF_BW_0176;0;0;0;0;0;0;2;0;0;0;0;0
16987;13858;0;1;0;0;0;0;2;0;0;0;0;0
13300;8501;0;2;1;0;0;0;0;0;0;1;1;0
9131;XX_XX_9818;0;3;0;0;0;2;5;0;0;0;4;1
35922;35910;0;2;0;0;0;1;0;0;0;0;0;0
4587;EU_IT_0264;0;1;0;0;0;1;0;0;0;0;0;0
3014;AM_EC_0209;0;0;1;0;0;0;3;0;0;0;0;0
27851;EU_XX_0527;0;1;0;0;0;3;1;0;0;0;1;0
32797;32671;1;11;2;0;0;8;9;0;0;0;8;0
20588;EU_NO_0068;0;3;0;0;0;1;2;0;0;0;0;0
22418;20906;0;0;0;0;0;0;1;0;0;0;0;0
34894;34850;0;2;0;0;0;0;4;0;0;0;1;0
33115;33004;0;0;0;0;0;0;0;0;0;0;1;0
22695;XX_XX_12640;0;0;0;0;0;0;2;0;0;0;0;0
13701;9086;0;1;0;0;1;2;1;0;0;1;1;0
15326;11513;0;1;1;0;0;2;1;0;0;0;0;0
27840;27322;0;1;0;0;0;2;1;1;0;0;3;0
15913;12399;0;4;1;0;0;2;1;0;0;0;2;0
5025;XX_XX_7074;0;1;0;0;0;2;0;0;1;0;4;0
32033;29462;0;3;0;0;0;2;3;0;0;0;6;0
16402;13089;0;0;1;0;0;3;0;0;0;0;1;0
793;XX_XX_2991;0;2;0;0;0;2;2;0;0;0;3;0
17539;AS_TW_0580;0;0;0;0;0;1;0;0;0;0;0;0
35327;35297;0;1;0;0;0;0;1;0;0;0;1;0
20644;18690;0;0;0;0;0;1;0;0;0;0;0;0
12556;7181;0;0;0;0;0;2;0;0;0;0;1;0
18612;AM_XX_0069;0;1;1;0;0;0;2;0;0;0;2;0
2310;XX_XX_7076;0;2;0;0;0;0;0;0;0;0;1;0
36065;36060;1;3;0;0;0;1;1;0;0;0;2;0
2771;EU_XX_0327;0;0;0;0;0;1;3;0;0;0;2;0
3749;XX_XX_10807;0;5;2;0;0;6;5;0;1;0;5;0
22052;20451;0;0;0;0;0;1;0;0;0;0;0;0
22059;EU_RU_0578;0;1;0;0;0;2;0;0;0;0;2;0
27028;26396;0;2;0;0;0;6;7;0;0;1;3;0
23849;1825;0;1;0;0;0;2;2;0;0;0;2;0
33786;33702;0;0;0;0;0;3;1;0;0;0;1;0
31249;XX_XX_3820;0;0;0;0;0;1;2;0;0;0;2;0
7618;AM_PA_0008;0;5;0;0;0;0;2;0;0;0;3;0
9736;2219;0;1;0;0;0;0;0;0;0;0;3;0
30114;12178;1;3;0;0;0;1;1;0;0;0;1;0
31803;OC_PG_0069;0;1;0;0;0;0;0;0;0;0;3;0
15269;EU_IE_0253;0;0;0;0;0;3;5;0;0;0;0;0
2875;XX_XX_13857;0;4;0;0;0;1;4;0;0;0;1;0
3802;EU_RU_1581;0;5;0;0;0;4;2;0;0;0;2;0
7189;AS_AM_0033;0;2;0;0;0;5;0;0;0;0;4;1
33982;2000;0;0;0;0;0;1;1;0;0;0;0;0
14127;XX_XX_0928;0;2;1;0;0;8;5;0;0;0;5;0
5687;XX_XX_2848;0;0;0;0;0;1;1;0;0;0;1;0
14341;EU_IT_0422;0;1;0;0;0;4;5;0;0;0;2;0
4189;EU_SE_0144;0;2;0;0;0;1;3;0;0;0;1;0
34324;34257;0;1;0;0;0;1;0;0;0;0;0;0
3598;XX_XX_4292;0;5;0;0;0;3;6;0;0;1;4;0
6646;EU_FI_0465;0;1;0;0;0;0;1;0;0;0;2;0
5386;XX_XX_2597;0;0;0;0;0;1;1;0;0;0;0;0
6676;XX_XX_2581;0;0;1;0;0;7;3;0;0;0;4;0
4790;EU_IT_1508;0;0;0;0;0;1;0;1;0;0;1;0
11914;6054;0;1;0;0;0;2;2;0;0;0;1;0
32685;XX_XX_8357;0;1;0;0;0;0;0;1;0;0;0;0
2962;EU_FI_0169;0;2;2;0;0;2;1;0;0;0;1;0
16495;XX_XX_13652;0;2;0;0;0;2;5;0;0;0;0;0
