,Species,NeutralA,NeutralT,NeutralG,NeutralC,FrA,FrT,FrG,FrC,Lm,Tm,TemperatureC,Class
720,Lepomis_gibbosus,589,405,197,902,0.281414237935977,0.193502150023889,0.0941232680363115,0.430960344003822,NA,2,25.5,Actinopterygii
2471,Dissostichus_eleginoides,604,420,240,872,0.282771535580524,0.196629213483146,0.112359550561798,0.408239700374532,NA,NA,NA,Actinopterygii
2299,Cottus_reinii,611,499,157,851,0.28847969782814,0.235599622285175,0.0741265344664778,0.401794145420208,NA,NA,NA,Actinopterygii
3068,Lampris_guttatus,610,359,172,963,0.289923954372624,0.170627376425856,0.0817490494296578,0.457699619771863,NA,NA,NA,Actinopterygii
2399,Cyprinodon_rubrofluviatilis,617,534,164,800,0.291725768321513,0.252482269503546,0.0775413711583924,0.378250591016548,NA,NA,NA,Actinopterygii
4822,Xiphophorus_hellerii,606,354,176,933,0.292895118414693,0.17109714838086,0.0850652489125181,0.450942484291928,NA,NA,NA,Actinopterygii
4662,Trachidermus_fasciatus,627,452,225,820,0.295197740112994,0.212806026365348,0.105932203389831,0.386064030131827,NA,1,NA,Actinopterygii
968,Notothenia_coriiceps,611,535,151,772,0.295311744804253,0.258579023682939,0.0729821169647173,0.373127114548091,35,7,-0.95,Actinopterygii
1548,Tropheus_moorii,619,468,125,880,0.295889101338432,0.223709369024857,0.0597514340344168,0.420650095602294,NA,NA,26,Actinopterygii
2187,Chionodraco_hamatus,612,459,183,813,0.296081277213353,0.222060957910015,0.0885341074020319,0.393323657474601,NA,NA,NA,Actinopterygii
4833,Zanclus_cornutus,615,498,183,781,0.296100144439095,0.239768897448243,0.0881078478574868,0.376023110255176,NA,NA,NA,Actinopterygii
3506,Neolamprologus_brichardi,616,488,114,859,0.296581608088589,0.234954260953298,0.0548868560423688,0.413577274915744,NA,NA,NA,Actinopterygii
862,Micropterus_dolomieu,620,460,171,839,0.296650717703349,0.220095693779904,0.0818181818181818,0.401435406698565,27,NA,9.3,Actinopterygii
4192,Rhabdosargus_sarba,634,509,207,780,0.297652582159624,0.238967136150235,0.0971830985915493,0.366197183098592,26,2.05,NA,Actinopterygii
4739,Tropheus_duboisi,617,464,109,881,0.297923708353452,0.224046354418155,0.0526315789473684,0.425398358281024,NA,NA,NA,Actinopterygii
411,Dicentrarchus_labrax,616,463,202,784,0.298305084745763,0.224213075060533,0.0978208232445521,0.379661016949153,29,3,19,Actinopterygii
3286,Maylandia_zebra,622,478,113,862,0.299759036144578,0.230361445783133,0.0544578313253012,0.415421686746988,NA,NA,NA,Actinopterygii
3821,Petrochromis_trewavasae,625,469,109,881,0.299904030710173,0.225047984644914,0.0523032629558541,0.42274472168906,NA,NA,NA,Actinopterygii
2401,Cyprinodon_variegatus,637,542,159,786,0.299905838041431,0.255178907721281,0.0748587570621469,0.370056497175141,NA,NA,NA,Actinopterygii
78,Anarhichas_lupus,623,527,200,722,0.300675675675676,0.254343629343629,0.0965250965250965,0.348455598455598,NA,NA,4,Actinopterygii
4097,Pterophyllum_scalare,621,467,112,862,0.301163918525703,0.226479146459748,0.0543161978661494,0.4180407371484,NA,NA,NA,Actinopterygii
1849,Astatotilapia_calliptera,625,463,109,872,0.302078298695022,0.223779603673272,0.0526824552924118,0.421459642339294,NA,NA,NA,Actinopterygii
2869,Hexagrammos_otakii,634,458,161,844,0.302336671435384,0.218407248450167,0.0767763471626133,0.402479732951836,NA,NA,NA,Actinopterygii
3800,Perca_schrenkii,625,595,188,659,0.302370585389453,0.28785679729076,0.0909530720851476,0.31881954523464,NA,NA,NA,Actinopterygii
1577,Xiphias_gladius,638,414,183,869,0.303231939163498,0.196768060836502,0.0869771863117871,0.413022813688213,NA,NA,19,Actinopterygii
863,Micropterus_salmoides,635,474,149,836,0.303247373447946,0.226361031518625,0.0711556829035339,0.399235912129895,NA,NA,11.25,Actinopterygii
3355,Micropterus_floridanus,637,459,148,842,0.305369127516779,0.220038350910834,0.0709491850431448,0.403643336529243,NA,NA,NA,Actinopterygii
2295,Cottus_bairdii,639,522,139,791,0.305595408895265,0.249641319942611,0.0664753706360593,0.378287900526064,NA,NA,NA,Actinopterygii
3075,Larimichthys_crocea,632,409,137,889,0.305757135945815,0.197871311078858,0.0662796323173682,0.430091920657958,NA,NA,NA,Actinopterygii
3652,Oryzias_javanicus,625,492,216,711,0.305772994129159,0.240704500978474,0.105675146771037,0.347847358121331,NA,NA,NA,Actinopterygii
4209,Rhinogobius_brunneus,651,458,173,834,0.30765595463138,0.216446124763705,0.081758034026465,0.39413988657845,NA,NA,NA,Actinopterygii
3385,Monopterus_albus,605,472,100,786,0.308201732042792,0.240448293428426,0.0509424350483953,0.400407539480387,NA,NA,NA,Actinopterygii
3291,Meda_fulgida,642,468,362,611,0.308209313490158,0.224675948151704,0.173787806048968,0.293326932309169,NA,NA,NA,Actinopterygii
3029,Kryptolebias_marmoratus,607,514,152,694,0.308591764107778,0.26131164209456,0.0772750381291307,0.352821555668531,17,0.5,NA,Actinopterygii
3307,Melanotaenia_praecox,639,465,144,811,0.310344827586207,0.225837785332686,0.0699368625546382,0.393880524526469,NA,NA,NA,Actinopterygii
721,Lepomis_macrochirus,641,399,151,871,0.31086323957323,0.193501454898157,0.0732298739088264,0.422405431619787,NA,NA,11.25,Actinopterygii
249,Chaenocephalus_aceratus,642,466,159,798,0.31089588377724,0.225665859564165,0.0769975786924939,0.386440677966102,43.95,9.5,1,Actinopterygii
2817,Haplochromis_burtoni,644,481,90,853,0.311411992263056,0.232591876208897,0.0435203094777563,0.41247582205029,NA,NA,NA,Actinopterygii
692,Larimichthys_polyactis,652,371,141,920,0.312859884836852,0.178023032629559,0.067658349328215,0.441458733205374,17.4,NA,22,Actinopterygii
656,Istiompax_indica,653,456,105,860,0.314850530376085,0.219864995178399,0.0506268081002893,0.414657666345227,NA,NA,18,Actinopterygii
4618,Tetrapturus_pfluegeri,655,498,101,825,0.315055315055315,0.23953823953824,0.0485810485810486,0.396825396825397,NA,NA,NA,Actinopterygii
1077,Perca_fluviatilis,649,578,144,688,0.315201554152501,0.280718795531812,0.0699368625546382,0.334142787761049,13.3,2,9,Actinopterygii
3051,Lagocephalus_inermis,653,366,160,891,0.315458937198068,0.176811594202899,0.0772946859903382,0.430434782608696,30,NA,NA,Actinopterygii
336,Coregonus_clupeaformis,656,435,212,774,0.315840154068368,0.209436687530091,0.102070293692826,0.372652864708715,27,NA,5,Actinopterygii
2275,Coregonus_autumnalis,657,437,210,774,0.316169393647738,0.210298363811357,0.101058710298364,0.372473532242541,NA,NA,NA,Actinopterygii
1483,Syngnathus_typhle,636,502,146,725,0.316575410652066,0.24987555998009,0.0726729716276755,0.360876057740169,NA,NA,8.2,Actinopterygii
2287,Coreoperca_kawamebari,652,571,136,700,0.31665857212239,0.277319086935406,0.0660514813016027,0.339970859640602,NA,NA,NA,Actinopterygii
2279,Coregonus_oxyrinchus,659,437,208,774,0.317131857555342,0.210298363811357,0.10009624639076,0.372473532242541,NA,3,NA,Actinopterygii
3119,Lepomis_cyanellus,647,468,119,806,0.317156862745098,0.229411764705882,0.0583333333333333,0.395098039215686,NA,NA,NA,Actinopterygii
337,Coregonus_lavaretus,659,437,205,776,0.317284545016851,0.21039961482908,0.0987000481463649,0.373615792007703,27.1,2,8.5,Actinopterygii
2280,Coregonus_peled,660,435,209,774,0.317613089509143,0.209335899903754,0.100577478344562,0.372473532242541,NA,NA,NA,Actinopterygii
2282,Coregonus_ussuriensis,661,435,208,775,0.317941317941318,0.209235209235209,0.1000481000481,0.372775372775373,NA,NA,NA,Actinopterygii
3303,Melanotaenia_australis,654,460,131,810,0.318248175182482,0.223844282238443,0.0637469586374696,0.394160583941606,NA,NA,NA,Actinopterygii
658,Istiophorus_platypterus,662,467,100,850,0.318422318422318,0.224627224627225,0.0481000481000481,0.408850408850409,NA,NA,22,Actinopterygii
2277,Coregonus_muksun,664,437,208,773,0.318924111431316,0.209894332372719,0.0999039385206532,0.371277617675312,NA,NA,NA,Actinopterygii
3172,Liza_affinis,665,457,146,817,0.3189448441247,0.219184652278177,0.0700239808153477,0.391846522781775,NA,NA,NA,Actinopterygii
4292,Sander_vitreus,659,551,166,688,0.319282945736434,0.266957364341085,0.0804263565891473,0.333333333333333,42,5,NA,Actinopterygii
1027,Pagellus_bogaraveo,674,480,162,791,0.319886093972473,0.22781205505458,0.0768865685809207,0.375415282392027,25,6,14,Actinopterygii
4836,Zebrias_crossolepis,651,432,125,825,0.320216428922774,0.212493851451058,0.0614854894244958,0.405804230201672,NA,NA,NA,Actinopterygii
3477,Nannoperca_obscura,654,466,149,773,0.320274240940255,0.22820763956905,0.0729676787463271,0.378550440744368,3.75,NA,NA,Actinopterygii
4617,Tetrapturus_georgii,664,496,97,816,0.320308731307284,0.2392667631452,0.0467920887602508,0.393632416787265,NA,NA,NA,Actinopterygii
1224,Rastrelliger_kanagurta,684,476,138,837,0.320374707259953,0.222950819672131,0.0646370023419204,0.392037470725995,18.8,0.56,28,Actinopterygii
2276,Coregonus_chadary,665,445,211,754,0.320481927710843,0.214457831325301,0.101686746987952,0.363373493975904,NA,NA,NA,Actinopterygii
2278,Coregonus_nasus,665,445,211,754,0.320481927710843,0.214457831325301,0.101686746987952,0.363373493975904,NA,NA,NA,Actinopterygii
2952,Hyperoglyphe_japonica,661,392,139,867,0.321029626032054,0.190383681398737,0.067508499271491,0.421078193297717,NA,NA,NA,Actinopterygii
1380,Seriola_dumerili,670,426,199,792,0.321034978437949,0.204120747484427,0.0953521801629133,0.37949209391471,NA,4,26,Actinopterygii
847,Merluccius_merluccius,679,339,151,938,0.322259136212625,0.160892263882297,0.0716658756525866,0.445182724252492,36.5,3.295,14,Actinopterygii
4477,Stenodus_leucichthys,668,451,194,758,0.322549492998551,0.217769193626268,0.0936745533558667,0.366006760019314,NA,NA,NA,Actinopterygii
2679,Gambusia_holbrooki,656,484,115,777,0.322834645669291,0.238188976377953,0.0565944881889764,0.38238188976378,NA,NA,NA,Actinopterygii
275,Chelon_labrosus,672,465,129,815,0.322921672272946,0.223450264296012,0.0619894281595387,0.391638635271504,NA,3,14,Actinopterygii
3476,Nannoperca_australis,662,470,142,775,0.323084431429966,0.22938018545632,0.0693020985846755,0.378233284529039,3.15,NA,NA,Actinopterygii
2152,Channa_argus,655,329,158,884,0.32329713721619,0.162388943731491,0.0779861796643633,0.436327739387957,30,NA,NA,Actinopterygii
2154,Channa_maculata,655,329,158,884,0.32329713721619,0.162388943731491,0.0779861796643633,0.436327739387957,NA,NA,NA,Actinopterygii
1009,Oryzias_latipes,652,508,225,631,0.323412698412698,0.251984126984127,0.111607142857143,0.312996031746032,NA,NA,26.5,Actinopterygii
2678,Gambusia_affinis,659,493,125,760,0.323514972999509,0.242022582228768,0.0613647520864016,0.373097692685322,NA,3,NA,Actinopterygii
4161,Ranzania_laevis,668,434,188,774,0.323643410852713,0.210271317829457,0.0910852713178295,0.375,NA,NA,NA,Actinopterygii
3799,Perca_flavescens,670,588,135,677,0.323671497584541,0.284057971014493,0.0652173913043478,0.327053140096618,18,3,NA,Actinopterygii
3729,Parachromis_managuensis,667,389,98,904,0.324101068999028,0.189018464528669,0.0476190476190476,0.439261418853256,NA,NA,NA,Actinopterygii
493,Esox_lucius,649,483,111,758,0.324337831084458,0.241379310344828,0.055472263868066,0.378810594702649,38,3,9,Actinopterygii
3055,Lagocephalus_spadiceus,682,331,142,940,0.325536992840095,0.15799522673031,0.0677804295942721,0.448687350835322,NA,NA,NA,Actinopterygii
3818,Petenia_splendida,671,392,99,885,0.327796775769419,0.191499755740107,0.0483634587200782,0.432340009770396,NA,NA,NA,Actinopterygii
1001,Oreochromis_niloticus,677,457,75,854,0.328162869607368,0.221522055259331,0.0363548230731944,0.413960252060107,18.7,1,27.6,Actinopterygii
2513,Eleutheronema_tetradactylum,674,392,181,806,0.328300048709206,0.190940087676571,0.0881636629322942,0.392596200681929,NA,NA,NA,Actinopterygii
882,Mugil_curema,681,473,123,796,0.328509406657019,0.228171731789677,0.0593342981186686,0.383984563434636,24.6,2.75,23.75,Actinopterygii
3601,Oncorhynchus_nerka,671,471,196,704,0.328599412340842,0.230656219392752,0.0959843290891283,0.344760039177277,60,2,NA,Actinopterygii
4118,Pungitius_kaibarae,666,492,143,725,0.328726554787759,0.24284304047384,0.0705824284304047,0.357847976307996,NA,NA,NA,Actinopterygii
95,Aphanopus_carbo,683,318,182,894,0.328839672604718,0.153105440539239,0.0876263842079923,0.43042850264805,109.5,NA,16,Actinopterygii
4837,Zebrias_quagga,662,400,154,797,0.328862394436165,0.198708395429707,0.0765027322404372,0.395926477893691,NA,NA,NA,Actinopterygii
858,Micromesistius_poutassou,672,501,168,701,0.329089128305583,0.245347698334966,0.0822722820763957,0.343290891283056,18.6,2,14,Actinopterygii
3625,Opsariichthys_bidens,672,424,322,624,0.329089128305583,0.207639569049951,0.157688540646425,0.305582761998041,NA,NA,NA,Actinopterygii
2657,Fundulus_olivaceus,650,570,139,615,0.329280648429585,0.288753799392097,0.0704154002026342,0.311550151975684,NA,NA,NA,Actinopterygii
3308,Melanotaenia_splendida,675,450,114,809,0.32958984375,0.2197265625,0.0556640625,0.39501953125,NA,1,NA,Actinopterygii
1202,Pungitius_pungitius,670,536,154,670,0.330049261083744,0.264039408866995,0.0758620689655172,0.330049261083744,3.7,NA,10,Actinopterygii
1500,Terapon_jarbua,698,487,133,794,0.330492424242424,0.230587121212121,0.0629734848484848,0.37594696969697,NA,NA,22,Actinopterygii
1442,Sprattus_sprattus,687,460,294,637,0.33060635226179,0.221366698748797,0.141482194417709,0.306544754571704,10,2,9,Actinopterygii
618,Hippoglossus_hippoglossus,689,462,208,717,0.331888246628131,0.222543352601156,0.10019267822736,0.345375722543353,103.5,5.9,9,Actinopterygii
4119,Pungitius_sinensis,673,539,151,663,0.33218163869694,0.26604146100691,0.0745310957551826,0.327245804540967,NA,NA,NA,Actinopterygii
1600,Acanthopagrus_latus,688,514,143,726,0.33220666344761,0.248189280540802,0.0690487687107677,0.350555287300821,23.7,NA,NA,Actinopterygii
881,Mugil_cephalus,677,457,100,803,0.332351497299951,0.224349533627884,0.0490918016691213,0.394207167403044,35.15,4,19,Actinopterygii
1256,Sander_lucioperca,677,559,108,686,0.333497536945813,0.275369458128079,0.0532019704433498,0.337931034482759,38,4,14,Actinopterygii
2237,Clupea_pallasii,687,438,313,621,0.33365711510442,0.212724623603691,0.152015541525012,0.301602719766877,NA,NA,NA,Actinopterygii
659,Isurus_oxyrinchus,645,399,135,749,0.33454356846473,0.20695020746888,0.0700207468879668,0.388485477178423,285.5,13,20.5,Chondrichthyes
2592,Esox_reichertii,671,517,103,712,0.334997503744383,0.258112830753869,0.0514228657014478,0.3554667998003,40,NA,NA,Actinopterygii
3588,Oedalechilus_labeo,693,480,112,780,0.335593220338983,0.232445520581114,0.0542372881355932,0.37772397094431,12.9,NA,NA,Actinopterygii
3626,Opsariichthys_uncirostris,684,422,292,639,0.335787923416789,0.207167403043692,0.143348060873834,0.313696612665685,10,NA,NA,Actinopterygii
774,Lophius_americanus,691,362,174,829,0.336089494163424,0.176070038910506,0.0846303501945525,0.403210116731518,42,NA,9,Actinopterygii
1094,Platichthys_stellatus,712,501,203,702,0.336166194523135,0.236543909348442,0.0958451369216242,0.331444759206799,NA,NA,18,Actinopterygii
1434,Spicara_maena,701,526,157,700,0.33637236084453,0.252399232245681,0.0753358925143954,0.335892514395393,12.3,2,19,Actinopterygii
1962,Brachyhypopomus_occidentalis,688,367,104,886,0.336430317848411,0.179462102689487,0.0508557457212714,0.433251833740831,NA,NA,NA,Actinopterygii
3273,Mastacembelus_armatus,674,344,103,880,0.336831584207896,0.171914042978511,0.0514742628685657,0.439780109945027,NA,NA,NA,Actinopterygii
983,Oncorhynchus_kisutch,681,448,175,717,0.33696190004948,0.221672439386442,0.0865907966353291,0.354774863928748,NA,3,13,Actinopterygii
4380,Seriola_rivoliana,700,442,160,770,0.337837837837838,0.213320463320463,0.0772200772200772,0.371621621621622,NA,NA,NA,Actinopterygii
1308,Scomber_japonicus,705,430,155,794,0.338291746641075,0.206333973128599,0.0743761996161228,0.380998080614203,30.75,2,14,Actinopterygii
309,Clupea_harengus,694,428,305,624,0.338371526084837,0.208678693320332,0.14870794734276,0.304241833252072,24.1,3,9,Actinopterygii
2397,Cyprinella_spiloptera,692,473,291,588,0.338551859099804,0.231409001956947,0.142367906066536,0.287671232876712,NA,NA,NA,Actinopterygii
4210,Rhinogobius_giurinus,703,447,145,780,0.338795180722892,0.215421686746988,0.0698795180722892,0.375903614457831,4.7,0.39,NA,Actinopterygii
415,Diodon_holocanthus,697,409,129,822,0.338842975206612,0.198833252309188,0.0627126883811376,0.399611084103063,NA,NA,27,Actinopterygii
4435,Solea_senegalensis,695,466,138,752,0.338859093125305,0.227206240858118,0.0672842515845929,0.366650414431984,NA,NA,NA,Actinopterygii
4362,Scomber_colias,709,440,149,786,0.34021113243762,0.211132437619962,0.0714971209213052,0.377159309021113,21.6,1.05,NA,Actinopterygii
3555,Notropis_stramineus,701,479,282,596,0.340621963070943,0.232750242954325,0.137026239067055,0.289601554907677,NA,NA,NA,Actinopterygii
2263,Colomesus_asellus,697,385,110,854,0.340664711632454,0.188172043010753,0.0537634408602151,0.417399804496579,NA,NA,NA,Actinopterygii
4286,Salvelinus_curilus,698,491,168,690,0.340986809965804,0.239863214460186,0.0820713238886175,0.337078651685393,NA,NA,NA,Actinopterygii
1743,Andinoacara_rivulatus,677,558,78,671,0.341229838709677,0.28125,0.0393145161290323,0.33820564516129,NA,NA,NA,Actinopterygii
2351,Culaea_inconstans,668,604,107,578,0.341338783852836,0.308635666836995,0.0546755237608585,0.29535002554931,NA,NA,NA,Actinopterygii
619,Hippoglossus_stenolepis,710,467,187,712,0.342003853564547,0.22495183044316,0.0900770712909441,0.342967244701349,NA,13,3.5,Actinopterygii
4839,Zebrias_zebrinus,699,451,132,761,0.342143906020558,0.220753793441018,0.0646108663729809,0.372491434165443,NA,NA,NA,Actinopterygii
3054,Lagocephalus_lunaris,704,320,162,864,0.343414634146341,0.15609756097561,0.0790243902439024,0.421463414634146,NA,NA,NA,Actinopterygii
1226,Reinhardtius_hippoglossoides,716,507,170,691,0.343570057581574,0.243282149712092,0.081573896353167,0.331573896353167,62.5,9.3,2,Actinopterygii
985,Oncorhynchus_mykiss,697,468,160,703,0.343688362919132,0.230769230769231,0.0788954635108481,0.346646942800789,NA,NA,15,Actinopterygii
1309,Scomber_scombrus,717,436,156,776,0.343884892086331,0.209112709832134,0.0748201438848921,0.372182254196643,30,1.8,10.95,Actinopterygii
156,Beryx_splendens,697,331,141,853,0.344708209693373,0.163699307616222,0.0697329376854599,0.421859545004946,NA,5.9,18,Actinopterygii
3953,Ponticola_kessleri,675,530,150,603,0.344739530132789,0.270684371807967,0.076608784473953,0.307967313585291,NA,NA,NA,Actinopterygii
1723,Amphilophus_citrinellus,699,385,75,868,0.344844597927972,0.189935865811544,0.0370004933399112,0.428219042920572,NA,NA,NA,Actinopterygii
1186,Pseudopleuronectes_yokohamae,731,496,206,686,0.344974044360547,0.234072675790467,0.097215667767815,0.32373761208117,20,NA,15,Actinopterygii
1533,Trachurus_trachurus,718,459,121,782,0.345192307692308,0.220673076923077,0.0581730769230769,0.375961538461538,21.9,2.5,14.4,Actinopterygii
4285,Salvelinus_alpinus,703,496,150,687,0.345284872298625,0.243614931237721,0.0736738703339882,0.337426326129666,49.05,8.45,NA,Actinopterygii
1601,Acanthopagrus_schlegelii,719,527,120,715,0.34550696780394,0.253243632868813,0.0576645843344546,0.343584814992792,NA,NA,NA,Actinopterygii
4512,Symphysodon_aequifasciata,699,390,70,862,0.345868381989114,0.192973775358733,0.0346363186541316,0.426521523998021,NA,NA,NA,Actinopterygii
4289,Salvelinus_leucomaenis,698,489,142,689,0.345887016848365,0.242319127849356,0.0703666997026759,0.341427155599604,NA,NA,NA,Actinopterygii
628,Hucho_taimen,704,493,108,730,0.345945945945946,0.242260442260442,0.0530712530712531,0.358722358722359,NA,NA,13,Actinopterygii
1307,Scomber_australasicus,718,448,135,773,0.34619093539055,0.216007714561234,0.0650916104146577,0.372709739633558,NA,NA,27.5,Actinopterygii
1047,Paralichthys_olivaceus,725,466,173,730,0.346227316141356,0.222540592168099,0.0826170009551098,0.348615090735435,NA,NA,15,Actinopterygii
1252,Salmo_trutta,707,433,112,790,0.346229187071499,0.212047012732615,0.0548481880509305,0.386875612144956,29.4,2,9.15,Actinopterygii
4416,Siniperca_scherzeri,701,416,139,768,0.346343873517787,0.205533596837945,0.0686758893280632,0.379446640316206,NA,NA,NA,Actinopterygii
787,Lutjanus_argentimaculatus,706,363,114,853,0.346758349705305,0.178290766208251,0.055992141453831,0.418958742632613,53.3,4.5,27,Actinopterygii
1251,Salmo_salar,703,464,106,749,0.347675568743818,0.229475766567755,0.0524233432245302,0.370425321463897,NA,4.8,10.5,Actinopterygii
2656,Fundulus_notatus,677,599,106,563,0.348071979434447,0.307969151670951,0.0544987146529563,0.289460154241645,NA,NA,NA,Actinopterygii
306,Cleisthenes_herzensteini,735,504,172,699,0.348341232227488,0.238862559241706,0.0815165876777251,0.331279620853081,NA,NA,16,Actinopterygii
187,Campostoma_anomalum,706,438,251,631,0.348469891411649,0.216189536031589,0.123889437314906,0.311451135241856,NA,NA,12,Actinopterygii
1119,Pollachius_virens,703,605,144,564,0.348710317460317,0.300099206349206,0.0714285714285714,0.279761904761905,62.2,4.75,6.5,Actinopterygii
4728,Triplophysa_yarkandensis,702,574,278,456,0.349253731343284,0.285572139303483,0.138308457711443,0.226865671641791,NA,NA,NA,Actinopterygii
1659,Agonostomus_monticola,708,481,150,685,0.349802371541502,0.237648221343874,0.0741106719367589,0.338438735177866,NA,NA,NA,Actinopterygii
4287,Salvelinus_fontinalis,706,495,141,675,0.350024789291026,0.245413981160139,0.0699058006941001,0.334655428854735,NA,NA,NA,Actinopterygii
4265,Ruvettus_pretiosus,718,352,182,788,0.351960784313726,0.172549019607843,0.0892156862745098,0.386274509803922,NA,NA,NA,Actinopterygii
4713,Triplophysa_bleekeri,703,486,221,586,0.352204408817635,0.243486973947896,0.110721442885772,0.293587174348697,NA,NA,NA,Actinopterygii
4022,Psenopsis_anomala,696,465,155,660,0.352226720647773,0.235323886639676,0.0784412955465587,0.334008097165992,NA,NA,NA,Actinopterygii
1118,Pollachius_pollachius,709,607,135,561,0.352385685884692,0.30168986083499,0.0670974155069582,0.27882703777336,36.1,3,13,Actinopterygii
159,Boreogadus_saida,702,662,122,504,0.352763819095477,0.332663316582915,0.0613065326633166,0.253266331658291,NA,NA,1.5,Actinopterygii
529,Gadus_morhua,702,653,127,508,0.352763819095477,0.328140703517588,0.0638190954773869,0.255276381909548,65.7,6.23,5.5,Actinopterygii
2224,Cichla_ocellaris,714,378,74,857,0.352941176470588,0.186851211072664,0.0365793376173999,0.423628274839348,NA,NA,NA,Actinopterygii
4449,Sphoeroides_pachygaster,714,508,112,686,0.353465346534653,0.251485148514851,0.0554455445544554,0.33960396039604,NA,NA,NA,Actinopterygii
4001,Prosopium_cylindraceum,725,473,187,666,0.353486104339347,0.230619210141394,0.091175036567528,0.324719648951731,26.25,4,NA,Actinopterygii
4149,Raja_pulchra,694,381,114,773,0.353720693170234,0.194189602446483,0.0581039755351682,0.393985728848114,NA,NA,NA,Chondrichthyes
1963,Brachymystax_lenok,716,492,89,727,0.353754940711462,0.243083003952569,0.0439723320158103,0.359189723320158,NA,NA,NA,Actinopterygii
2546,Epinephelus_awoara,716,493,137,675,0.354280059376546,0.243938644235527,0.0677882236516576,0.333993072736269,NA,NA,NA,Actinopterygii
3404,Mugilogobius_chulae,732,512,146,676,0.354307841239109,0.247821878025169,0.0706679574056147,0.327202323330106,NA,NA,NA,Actinopterygii
696,Lates_calcarifer,718,391,131,786,0.354392892398815,0.192991115498519,0.0646594274432379,0.387956564659427,NA,NA,28.5,Actinopterygii
1294,Scarus_rubroviolaceus,738,473,147,721,0.354978354978355,0.227513227513228,0.0707070707070707,0.346801346801347,NA,4,27,Actinopterygii
1599,Acanthogobius_hasta,736,479,203,647,0.356416464891041,0.231961259079903,0.0983050847457627,0.313317191283293,NA,NA,NA,Actinopterygii
4579,Tanakia_limbata,716,356,271,665,0.356573705179283,0.177290836653386,0.13496015936255,0.331175298804781,NA,NA,NA,Actinopterygii
136,Auxis_thazard,730,423,165,725,0.357317670093,0.20704845814978,0.0807635829662261,0.354870288790994,29.7,2.5,27,Actinopterygii
2153,Channa_asiatica,702,423,86,753,0.357433808553971,0.215376782077393,0.0437881873727088,0.383401221995927,NA,NA,NA,Actinopterygii
3180,Lophius_litulon,720,368,162,762,0.357852882703777,0.182902584493042,0.0805168986083499,0.378727634194831,46.45,5.8,NA,Actinopterygii
527,Gadus_chalcogrammus,718,631,113,544,0.357926221335992,0.314556331006979,0.0563310069790628,0.271186440677966,38,4,3.5,Actinopterygii
831,Melanogrammus_aeglefinus,712,718,110,449,0.357968828557064,0.360985419808949,0.0553041729512318,0.225741578682755,33.5,3,9,Actinopterygii
2545,Epinephelus_akaara,727,506,135,662,0.358128078817734,0.249261083743842,0.0665024630541872,0.326108374384236,NA,NA,NA,Actinopterygii
76,Anabas_testudineus,728,423,135,746,0.358267716535433,0.208169291338583,0.0664370078740158,0.367125984251969,NA,NA,26,Actinopterygii
1614,Acheilognathus_signifer,720,359,263,666,0.358565737051793,0.178784860557769,0.13097609561753,0.331673306772908,NA,NA,NA,Actinopterygii
