Species	Gene	NeutralA	NeutralT	NeutralG	NeutralC	GenerationLength_d	ECO.Maximum.longevity..yrs.	ECO.Body.mass..g.	ECO.Metabolic.rate..W.	ECO.Temperature..K.
Crocidura_palawanensis	ATP6	47	34	5	25	409.171225	NA	NA	NA	NA
Niviventer_excelsior	ATP6	57	20	4	26	639.631831820818	NA	NA	NA	NA
Mus_cervicolor	ATP6	63	23	3	19	628.295	NA	NA	NA	NA
Sorex_araneus	ATP6	54	30	5	21	524.7815	3.2	8.4	0.348	308.15
Proechimys_longicaudatus	ATP6	49	38	6	19	631.7859833285	NA	NA	NA	NA
Rattus_lutreolus	ATP6	62	16	5	28	440.292083343	4.4	109	0.353	309.85
Mus_cookii	ATP6	60	24	3	22	628.295	NA	NA	NA	NA
Crocidura_negrina	ATP6	49	37	3	22	427.67965	NA	NA	NA	NA
Rattus_tiomanicus	ATP6	59	22	2	23	534.7590666715	NA	NA	NA	NA
Rattus_tunneyi	ATP6	61	13	4	29	534.7590666715	NA	NA	NA	NA
Crocidura_beatus	ATP6	49	36	3	23	427.67965	NA	NA	NA	NA
Condylura_cristata	ATP6	56	30	5	14	558.6411	2.5	49	0.615	310.85
Blarinella_quadraticauda	ATP6	54	38	1	16	379.29295625	NA	NA	NA	NA
Rattus_praetor	ATP6	57	15	7	29	534.7590666715	NA	NA	NA	NA
Mus_musculus	ATP6	64	22	1	20	628.295	4	18	0.271	310.05
Mus_famulus	ATP6	55	27	4	23	628.295	NA	NA	NA	NA
Microtus_levis	ATP6	50	26	4	35	373.623802083937	NA	NA	NA	NA
Lasiopodomys_mandarinus	ATP6	53	26	7	35	589.388299099621	NA	NA	NA	NA
Crocidura_orientalis	ATP6	48	36	3	25	427.67965	NA	NA	NA	NA
Rattus_exulans	ATP6	57	21	4	25	534.7590666715	NA	NA	NA	NA
Crocidura_shantungensis	ATP6	49	35	3	22	409.171225	NA	NA	NA	NA
Tarsipes_rostratus	ATP6	52	29	3	24	341.275	NA	10	0.162	309.75
Microtus_ochrogaster	ATP6	55	21	1	36	615.4024	5.3	48.2	0.41	311.05
Microtus_kikuchii	ATP6	50	16	5	40	373.623802083937	NA	NA	NA	NA
Tlacuatzin_canescens	ATP6	66	26	2	11	642.840025	NA	NA	NA	NA
Neodon_irene	ATP6	49	20	6	39	589.388299099621	NA	NA	NA	NA
Mus_spretus	ATP6	61	19	4	23	628.295	NA	NA	NA	NA
Eothenomys_chinensis	ATP6	52	18	5	40	589.388299099621	NA	NA	NA	NA
Neomys_fodiens	ATP6	52	36	4	21	576.8888	3.1	16	0.328	310.45
Mus_terricolor	ATP6	51	24	5	26	435.665	NA	NA	NA	NA
Sorex_tundrensis	ATP6	53	27	7	21	422.884597917875	NA	NA	NA	NA
Sminthopsis_douglasi	ATP6	46	29	4	32	546.026466666667	NA	NA	NA	NA
Rattus_fuscipes	ATP6	61	17	4	27	558.507283343	5.3	76	0.471	310.65
Episoriculus_macrurus	ATP6	57	30	2	24	426.91011944525	NA	NA	NA	NA
Micromys_minutus	ATP6	53	25	3	26	502.66	3.8	7.6	0.201	311.15
Proedromys_liangshanensis	ATP6	57	16	8	31	589.388299099621	NA	NA	NA	NA
Sorex_unguiculatus	ATP6	56	32	4	17	392.4667	NA	NA	NA	NA
Ctenomys_leucodon	ATP6	49	25	5	24	600.93415	NA	NA	NA	NA
Niviventer_fulvescens	ATP6	57	26	5	18	624.399640909091	NA	NA	NA	NA
Isoodon_macrourus	ATP6	53	33	0	25	623.745	6.8	1551	3.202	309.05
Eothenomys_melanogaster	ATP6	58	25	7	27	589.388299099621	NA	NA	NA	NA
Wiedomys_cerradensis	ATP6	44	29	6	36	589.388299099621	NA	NA	NA	NA
Niviventer_confucianus	ATP6	59	23	3	22	624.399640909091	NA	NA	NA	NA
Myodes_rufocanus	ATP6	49	19	2	37	433.359922223833	NA	NA	NA	NA
Tscherskia_triton	ATP6	43	17	9	45	589.388299099621	NA	NA	NA	NA
Bandicota_indica	ATP6	60	17	5	25	639.631831820818	NA	NA	NA	NA
Apodemus_agrarius	ATP6	58	32	3	19	504.40745	NA	21.2	0.373	NA
Crocidura_attenuata	ATP6	50	28	6	24	427.67965	NA	NA	NA	NA
Thylamys_elegans	ATP6	49	28	8	30	642.840025	NA	NA	NA	NA
Rattus_leucopus	ATP6	59	16	4	26	534.7590666715	NA	NA	NA	NA
Rattus_sordidus	ATP6	61	15	2	29	534.7590666715	NA	NA	NA	NA
Myodes_glareolus	ATP6	52	22	5	33	577.7512	NA	NA	NA	NA
Sminthopsis_crassicaudata	ATP6	42	37	6	29	594.4425	5	16	0.121	308.35
Crocidura_lasiura	ATP6	48	36	2	23	427.67965	NA	NA	NA	NA
Eothenomys_miletus	ATP6	56	23	7	31	589.388299099621	NA	NA	NA	NA
Rattus_niobe	ATP6	59	18	7	26	534.7590666715	NA	NA	NA	NA
Meriones_unguiculatus	ATP6	55	25	8	22	503.8875	6.3	64.8	0.546	311.35
Leggadina_lakedownensis	ATP8	31	3	2	5	624.399640909091	NA	NA	NA	NA
Crocidura_palawanensis	ATP8	23	9	0	1	409.171225	NA	NA	NA	NA
Bandicota_indica	ATP8	27	9	0	5	639.631831820818	NA	NA	NA	NA
Suncus_murinus	ATP8	23	8	2	2	363.52745	3.2	39.7	0.403	311.85
Crocidura_orientalis	ATP8	22	6	0	4	427.67965	NA	NA	NA	NA
Apodemus_peninsulae	ATP8	25	11	0	5	554.1929125	4.4	NA	NA	NA
Thylamys_elegans	ATP8	23	5	0	9	642.840025	NA	NA	NA	NA
Myodes_regulus	ATP8	25	4	1	7	433.359922223833	NA	NA	NA	NA
Episoriculus_macrurus	ATP8	24	4	0	3	426.91011944525	NA	NA	NA	NA
Mus_caroli	ATP8	31	5	0	1	628.295	NA	NA	NA	NA
Meriones_unguiculatus	ATP8	22	10	1	4	503.8875	6.3	64.8	0.546	311.35
Niviventer_confucianus	ATP8	27	7	3	3	624.399640909091	NA	NA	NA	NA
Sminthopsis_douglasi	ATP8	22	7	3	4	546.026466666667	NA	NA	NA	NA
Eothenomys_melanogaster	ATP8	28	8	2	7	589.388299099621	NA	NA	NA	NA
Crocidura_shantungensis	ATP8	24	7	0	4	409.171225	NA	NA	NA	NA
Rattus_leucopus	ATP8	25	3	1	9	534.7590666715	NA	NA	NA	NA
Crocidura_attenuata	ATP8	22	6	0	4	427.67965	NA	NA	NA	NA
Micromys_minutus	ATP8	26	8	1	5	502.66	3.8	7.6	0.201	311.15
Proedromys_liangshanensis	ATP8	27	7	3	4	589.388299099621	NA	NA	NA	NA
Wiedomys_cerradensis	ATP8	24	5	1	4	589.388299099621	NA	NA	NA	NA
Episoriculus_caudatus	ATP8	24	8	1	3	426.91011944525	NA	NA	NA	NA
Rattus_praetor	ATP8	26	4	0	8	534.7590666715	NA	NA	NA	NA
Eothenomys_chinensis	ATP8	25	10	2	5	589.388299099621	NA	NA	NA	NA
Mus_famulus	ATP8	31	1	0	9	628.295	NA	NA	NA	NA
Episoriculus_fumidus	ATP8	24	6	1	3	426.91011944525	NA	NA	NA	NA
Isoodon_macrourus	ATP8	25	4	0	1	623.745	6.8	1551	3.202	309.05
Crocidura_mindorus	ATP8	23	9	0	1	427.67965	NA	NA	NA	NA
Myodes_glareolus	ATP8	27	6	1	6	577.7512	NA	NA	NA	NA
Rattus_rattus	ATP8	26	3	0	8	546.1994	4.2	117	0.77	311.15
Rattus_tanezumi	ATP8	28	3	1	8	534.7590666715	NA	NA	NA	NA
Mus_cookii	ATP8	30	3	0	8	628.295	NA	NA	NA	NA
Microtus_levis	ATP8	27	7	2	4	373.623802083937	NA	NA	NA	NA
Crocidura_grayi	ATP8	23	8	0	2	427.67965	NA	NA	NA	NA
Mus_spretus	ATP8	32	2	1	4	628.295	NA	NA	NA	NA
Neomys_fodiens	ATP8	21	7	0	2	576.8888	3.1	16	0.328	310.45
Proechimys_longicaudatus	ATP8	25	6	0	6	631.7859833285	NA	NA	NA	NA
Blarinella_quadraticauda	ATP8	23	5	0	5	379.29295625	NA	NA	NA	NA
Apodemus_latronum	ATP8	28	6	0	4	554.1929125	NA	NA	NA	NA
Rattus_lutreolus	ATP8	24	4	1	8	440.292083343	4.4	109	0.353	309.85
Crocidura_negrina	ATP8	23	9	0	1	427.67965	NA	NA	NA	NA
Niviventer_excelsior	ATP8	27	6	2	6	639.631831820818	NA	NA	NA	NA
Mus_fragilicauda	ATP8	29	2	2	6	628.295	NA	NA	NA	NA
Leopoldamys_edwardsi	ATP8	27	5	1	7	639.631831820818	NA	NA	NA	NA
Nectogale_elegans	ATP8	21	4	1	6	379.29295625	NA	NA	NA	NA
Lasiopodomys_mandarinus	ATP8	28	8	0	4	589.388299099621	NA	NA	NA	NA
Sorex_araneus	ATP8	22	7	2	4	524.7815	3.2	8.4	0.348	308.15
Cricetulus_kamensis	ATP8	23	7	0	6	589.388299099621	NA	NA	NA	NA
Rattus_fuscipes	ATP8	25	7	0	8	558.507283343	5.3	76	0.471	310.65
Rattus_niobe	ATP8	26	4	1	7	534.7590666715	NA	NA	NA	NA
Microtus_kikuchii	ATP8	27	6	1	4	373.623802083937	NA	NA	NA	NA
Mus_cervicolor	ATP8	31	4	0	4	628.295	NA	NA	NA	NA
Rattus_tiomanicus	ATP8	27	6	0	6	534.7590666715	NA	NA	NA	NA
Sorex_cylindricauda	ATP8	22	9	0	3	422.884597917875	NA	NA	NA	NA
Mus_terricolor	ATP8	29	2	1	6	435.665	NA	NA	NA	NA
Microtus_ochrogaster	ATP8	29	5	1	5	615.4024	5.3	48.2	0.41	311.05
Rattus_sordidus	ATP8	24	5	0	8	534.7590666715	NA	NA	NA	NA
Myodes_rufocanus	ATP8	25	4	1	8	433.359922223833	NA	NA	NA	NA
Tarsipes_rostratus	ATP8	22	11	0	3	341.275	NA	10	0.162	309.75
Crocidura_beatus	ATP8	23	9	0	1	427.67965	NA	NA	NA	NA
Anourosorex_squamipes	ATP8	24	4	0	6	379.29295625	NA	NA	NA	NA
Apodemus_draco	ATP8	26	11	3	3	554.1929125	NA	NA	NA	NA
Meriones_meridianus	ATP8	22	8	0	7	608.148016666667	6.8	NA	NA	NA
Crocidura_lasiura	ATP8	23	7	0	2	427.67965	NA	NA	NA	NA
Eothenomys_miletus	ATP8	26	5	2	7	589.388299099621	NA	NA	NA	NA
Sorex_tundrensis	ATP8	23	7	1	4	422.884597917875	NA	NA	NA	NA
Mus_musculus	ATP8	33	2	1	4	628.295	4	18	0.271	310.05
Niviventer_fulvescens	ATP8	27	2	1	7	624.399640909091	NA	NA	NA	NA
Tscherskia_triton	ATP8	22	6	1	8	589.388299099621	NA	NA	NA	NA
Akodon_montensis	ATP8	25	7	0	7	589.388299099621	NA	NA	NA	NA
Apodemus_chevrieri	ATP8	27	7	0	6	554.1929125	NA	NA	NA	NA
Condylura_cristata	ATP8	28	3	1	1	558.6411	2.5	49	0.615	310.85
Cricetulus_longicaudatus	ATP8	22	9	2	4	589.388299099621	NA	NA	NA	NA
Tlacuatzin_canescens	ATP8	23	4	0	3	642.840025	NA	NA	NA	NA
Ctenomys_leucodon	ATP8	22	6	0	2	600.93415	NA	NA	NA	NA
Apodemus_agrarius	ATP8	27	7	0	6	504.40745	NA	21.2	0.373	NA
Neodon_irene	ATP8	27	4	4	6	589.388299099621	NA	NA	NA	NA
Rattus_tunneyi	ATP8	25	5	0	9	534.7590666715	NA	NA	NA	NA
Sminthopsis_crassicaudata	ATP8	21	5	3	7	594.4425	5	16	0.121	308.35
Rattus_villosissimus	ATP8	25	5	1	7	534.7590666715	NA	NA	NA	NA
Rattus_exulans	ATP8	27	5	0	7	534.7590666715	NA	NA	NA	NA
Sorex_unguiculatus	ATP8	23	4	0	5	392.4667	NA	NA	NA	NA
Condylura_cristata	COX1	144	61	8	42	558.6411	2.5	49	0.615	310.85
Mus_famulus	COX1	139	68	10	48	628.295	NA	NA	NA	NA
Mus_fragilicauda	COX1	147	62	8	51	628.295	NA	NA	NA	NA
Nectogale_elegans	COX1	103	103	11	49	379.29295625	NA	NA	NA	NA
Crocidura_attenuata	COX1	101	102	6	48	427.67965	NA	NA	NA	NA
Myodes_glareolus	COX1	132	46	11	78	577.7512	NA	NA	NA	NA
Rattus_exulans	COX1	134	68	9	61	534.7590666715	NA	NA	NA	NA
Myodes_regulus	COX1	127	55	11	73	433.359922223833	NA	NA	NA	NA
Rattus_leucopus	COX1	136	60	8	67	534.7590666715	NA	NA	NA	NA
Sorex_araneus	COX1	125	85	16	48	524.7815	3.2	8.4	0.348	308.15
Crocidura_shantungensis	COX1	90	101	13	57	409.171225	NA	NA	NA	NA
Eothenomys_melanogaster	COX1	119	51	20	79	589.388299099621	NA	NA	NA	NA
Mus_caroli	COX1	143	78	7	39	628.295	NA	NA	NA	NA
Blarinella_quadraticauda	COX1	118	96	5	46	379.29295625	NA	NA	NA	NA
Crocidura_mindorus	COX1	104	96	9	53	427.67965	NA	NA	NA	NA
Suncus_murinus	COX1	104	99	11	45	363.52745	3.2	39.7	0.403	311.85
Episoriculus_caudatus	COX1	122	74	12	59	426.91011944525	NA	NA	NA	NA
Wiedomys_cerradensis	COX1	113	79	17	61	589.388299099621	NA	NA	NA	NA
Leopoldamys_edwardsi	COX1	133	74	13	53	639.631831820818	NA	NA	NA	NA
Mus_musculus	COX1	143	58	12	55	628.295	4	18	0.271	310.05
Apodemus_chevrieri	COX1	139	76	12	42	554.1929125	NA	NA	NA	NA
Cricetulus_kamensis	COX1	125	56	19	66	589.388299099621	NA	NA	NA	NA
Rattus_villosissimus	COX1	126	62	12	68	534.7590666715	NA	NA	NA	NA
Niviventer_fulvescens	COX1	140	73	14	43	624.399640909091	NA	NA	NA	NA
Ctenomys_leucodon	COX1	132	69	11	41	600.93415	NA	NA	NA	NA
Bandicota_indica	COX1	127	72	16	56	639.631831820818	NA	NA	NA	NA
Sorex_cylindricauda	COX1	121	90	10	50	422.884597917875	NA	NA	NA	NA
Microtus_levis	COX1	124	66	18	58	373.623802083937	NA	NA	NA	NA
Apodemus_draco	COX1	155	59	2	48	554.1929125	NA	NA	NA	NA
Tlacuatzin_canescens	COX1	142	75	2	32	642.840025	NA	NA	NA	NA
Tarsipes_rostratus	COX1	109	88	6	58	341.275	NA	10	0.162	309.75
Rattus_tiomanicus	COX1	131	59	9	72	534.7590666715	NA	NA	NA	NA
Micromys_minutus	COX1	112	90	11	53	502.66	3.8	7.6	0.201	311.15
Isoodon_macrourus	COX1	133	78	9	35	623.745	6.8	1551	3.202	309.05
Anourosorex_squamipes	COX1	130	82	7	51	379.29295625	NA	NA	NA	NA
Rattus_fuscipes	COX1	136	67	8	61	558.507283343	5.3	76	0.471	310.65
Apodemus_latronum	COX1	153	70	6	34	554.1929125	NA	NA	NA	NA
Proedromys_liangshanensis	COX1	124	54	26	64	589.388299099621	NA	NA	NA	NA
Niviventer_confucianus	COX1	138	69	9	56	624.399640909091	NA	NA	NA	NA
Crocidura_negrina	COX1	99	99	12	50	427.67965	NA	NA	NA	NA
Crocidura_orientalis	COX1	104	90	11	56	427.67965	NA	NA	NA	NA
Rattus_sordidus	COX1	126	65	12	63	534.7590666715	NA	NA	NA	NA
Crocidura_palawanensis	COX1	97	94	15	55	409.171225	NA	NA	NA	NA
Crocidura_lasiura	COX1	93	99	17	53	427.67965	NA	NA	NA	NA
Rattus_tanezumi	COX1	131	72	5	64	534.7590666715	NA	NA	NA	NA
Sorex_unguiculatus	COX1	126	66	15	70	392.4667	NA	NA	NA	NA
Sorex_tundrensis	COX1	131	83	9	51	422.884597917875	NA	NA	NA	NA
Rattus_tunneyi	COX1	131	70	9	64	534.7590666715	NA	NA	NA	NA
Neomys_fodiens	COX1	114	93	12	53	576.8888	3.1	16	0.328	310.45
Thylamys_elegans	COX1	99	81	19	57	642.840025	NA	NA	NA	NA
Mus_spretus	COX1	138	60	10	63	628.295	NA	NA	NA	NA
Crocidura_beatus	COX1	99	105	13	45	427.67965	NA	NA	NA	NA
Apodemus_agrarius	COX1	139	68	12	48	504.40745	NA	21.2	0.373	NA
Mus_cervicolor	COX1	145	73	3	47	628.295	NA	NA	NA	NA
Mus_terricolor	COX1	146	57	7	57	435.665	NA	NA	NA	NA
Crocidura_grayi	COX1	98	99	16	49	427.67965	NA	NA	NA	NA
Rattus_lutreolus	COX1	133	67	8	63	440.292083343	4.4	109	0.353	309.85
Meriones_meridianus	COX1	127	60	17	55	608.148016666667	6.8	NA	NA	NA
Sminthopsis_crassicaudata	COX1	115	90	19	46	594.4425	5	16	0.121	308.35
Rattus_praetor	COX1	135	60	6	70	534.7590666715	NA	NA	NA	NA
Rattus_rattus	COX1	126	64	14	68	546.1994	4.2	117	0.77	311.15
Mus_cookii	COX1	150	72	4	37	628.295	NA	NA	NA	NA
Sminthopsis_douglasi	COX1	105	87	27	45	546.026466666667	NA	NA	NA	NA
Lasiopodomys_mandarinus	COX1	124	53	25	67	589.388299099621	NA	NA	NA	NA
Rattus_niobe	COX1	136	61	9	63	534.7590666715	NA	NA	NA	NA
Eothenomys_miletus	COX1	118	46	22	80	589.388299099621	NA	NA	NA	NA
Episoriculus_macrurus	COX1	112	83	6	66	426.91011944525	NA	NA	NA	NA
Proechimys_longicaudatus	COX1	115	90	18	32	631.7859833285	NA	NA	NA	NA
Meriones_unguiculatus	COX1	131	65	15	49	503.8875	6.3	64.8	0.546	311.35
Microtus_kikuchii	COX1	116	58	29	69	373.623802083937	NA	NA	NA	NA
Apodemus_peninsulae	COX1	150	61	7	44	554.1929125	4.4	NA	NA	NA
Eothenomys_chinensis	COX1	126	51	18	73	589.388299099621	NA	NA	NA	NA
Tscherskia_triton	COX1	100	67	33	79	589.388299099621	NA	NA	NA	NA
Niviventer_excelsior	COX1	130	74	14	51	639.631831820818	NA	NA	NA	NA
Myodes_rufocanus	COX1	121	49	20	77	433.359922223833	NA	NA	NA	NA
Neodon_irene	COX1	124	57	19	70	589.388299099621	NA	NA	NA	NA
Episoriculus_fumidus	COX1	123	81	9	53	426.91011944525	NA	NA	NA	NA
Akodon_montensis	COX1	112	60	20	80	589.388299099621	NA	NA	NA	NA
Leggadina_lakedownensis	COX1	139	75	8	47	624.399640909091	NA	NA	NA	NA
Microtus_ochrogaster	COX1	119	57	17	74	615.4024	5.3	48.2	0.41	311.05
Cricetulus_longicaudatus	COX1	130	89	16	31	589.388299099621	NA	NA	NA	NA
Myodes_regulus	COX2	51	28	7	28	433.359922223833	NA	NA	NA	NA
Tlacuatzin_canescens	COX2	65	22	1	15	642.840025	NA	NA	NA	NA
Leopoldamys_edwardsi	COX2	53	25	10	22	639.631831820818	NA	NA	NA	NA
Eothenomys_melanogaster	COX2	51	19	5	37	589.388299099621	NA	NA	NA	NA
Condylura_cristata	COX2	66	24	4	11	558.6411	2.5	49	0.615	310.85
Rattus_tunneyi	COX2	49	26	5	27	534.7590666715	NA	NA	NA	NA
Mus_cookii	COX2	54	32	0	21	628.295	NA	NA	NA	NA
Crocidura_shantungensis	COX2	45	47	3	18	409.171225	NA	NA	NA	NA
Apodemus_agrarius	COX2	58	36	3	11	504.40745	NA	21.2	0.373	NA
Proedromys_liangshanensis	COX2	51	21	5	31	589.388299099621	NA	NA	NA	NA
Rattus_tanezumi	COX2	59	27	2	18	534.7590666715	NA	NA	NA	NA
Cricetulus_longicaudatus	COX2	55	36	9	14	589.388299099621	NA	NA	NA	NA
Eothenomys_chinensis	COX2	48	24	7	29	589.388299099621	NA	NA	NA	NA
Crocidura_attenuata	COX2	46	47	5	13	427.67965	NA	NA	NA	NA
Mus_spretus	COX2	54	18	4	30	628.295	NA	NA	NA	NA
Mus_famulus	COX2	53	32	2	22	628.295	NA	NA	NA	NA
Myodes_glareolus	COX2	56	23	4	32	577.7512	NA	NA	NA	NA
Apodemus_chevrieri	COX2	53	32	7	15	554.1929125	NA	NA	NA	NA
Crocidura_orientalis	COX2	46	42	5	18	427.67965	NA	NA	NA	NA
Mus_caroli	COX2	46	39	7	16	628.295	NA	NA	NA	NA
Rattus_lutreolus	COX2	50	21	5	34	440.292083343	4.4	109	0.353	309.85
Apodemus_peninsulae	COX2	60	24	2	17	554.1929125	4.4	NA	NA	NA
Crocidura_negrina	COX2	46	38	1	25	427.67965	NA	NA	NA	NA
Tarsipes_rostratus	COX2	44	34	4	27	341.275	NA	10	0.162	309.75
Niviventer_excelsior	COX2	49	24	4	33	639.631831820818	NA	NA	NA	NA
Anourosorex_squamipes	COX2	64	31	0	15	379.29295625	NA	NA	NA	NA
Mus_cervicolor	COX2	51	32	1	23	628.295	NA	NA	NA	NA
Myodes_rufocanus	COX2	50	34	7	23	433.359922223833	NA	NA	NA	NA
Rattus_praetor	COX2	57	26	3	22	534.7590666715	NA	NA	NA	NA
Mus_terricolor	COX2	53	30	1	22	435.665	NA	NA	NA	NA
Mus_fragilicauda	COX2	53	32	6	15	628.295	NA	NA	NA	NA
Rattus_leucopus	COX2	60	20	1	27	534.7590666715	NA	NA	NA	NA
Rattus_tiomanicus	COX2	55	30	2	18	534.7590666715	NA	NA	NA	NA
Microtus_kikuchii	COX2	48	24	7	33	373.623802083937	NA	NA	NA	NA
Sorex_cylindricauda	COX2	54	38	7	17	422.884597917875	NA	NA	NA	NA
Ctenomys_leucodon	COX2	57	27	2	15	600.93415	NA	NA	NA	NA
Apodemus_draco	COX2	47	21	4	34	554.1929125	NA	NA	NA	NA
Sorex_araneus	COX2	51	30	5	25	524.7815	3.2	8.4	0.348	308.15
Sminthopsis_douglasi	COX2	44	30	7	27	546.026466666667	NA	NA	NA	NA
Episoriculus_caudatus	COX2	58	31	4	22	426.91011944525	NA	NA	NA	NA
Akodon_montensis	COX2	49	21	4	38	589.388299099621	NA	NA	NA	NA
Mus_musculus	COX2	51	26	5	24	628.295	4	18	0.271	310.05
Isoodon_macrourus	COX2	57	33	3	21	623.745	6.8	1551	3.202	309.05
Proechimys_longicaudatus	COX2	61	27	3	16	631.7859833285	NA	NA	NA	NA
Neomys_fodiens	COX2	57	27	8	18	576.8888	3.1	16	0.328	310.45
Apodemus_latronum	COX2	59	26	2	18	554.1929125	NA	NA	NA	NA
Rattus_fuscipes	COX2	54	25	2	27	558.507283343	5.3	76	0.471	310.65
Eothenomys_miletus	COX2	45	24	6	33	589.388299099621	NA	NA	NA	NA
Microtus_levis	COX2	52	27	6	23	373.623802083937	NA	NA	NA	NA
Blarinella_quadraticauda	COX2	54	34	2	23	379.29295625	NA	NA	NA	NA
Meriones_meridianus	COX2	55	26	6	18	608.148016666667	6.8	NA	NA	NA
Thylamys_elegans	COX2	53	27	9	20	642.840025	NA	NA	NA	NA
Tscherskia_triton	COX2	45	16	16	37	589.388299099621	NA	NA	NA	NA
Niviventer_fulvescens	COX2	52	31	6	21	624.399640909091	NA	NA	NA	NA
Nectogale_elegans	COX2	57	26	6	20	379.29295625	NA	NA	NA	NA
Rattus_rattus	COX2	54	26	5	21	546.1994	4.2	117	0.77	311.15
Sminthopsis_crassicaudata	COX2	46	28	3	29	594.4425	5	16	0.121	308.35
Rattus_niobe	COX2	57	24	4	24	534.7590666715	NA	NA	NA	NA
Crocidura_mindorus	COX2	45	38	1	26	427.67965	NA	NA	NA	NA
Cricetulus_kamensis	COX2	56	31	4	21	589.388299099621	NA	NA	NA	NA
Crocidura_beatus	COX2	44	40	4	22	427.67965	NA	NA	NA	NA
Neodon_irene	COX2	47	21	4	34	589.388299099621	NA	NA	NA	NA
Sorex_tundrensis	COX2	49	31	6	25	422.884597917875	NA	NA	NA	NA
Niviventer_confucianus	COX2	52	34	4	20	624.399640909091	NA	NA	NA	NA
Episoriculus_fumidus	COX2	55	24	3	30	426.91011944525	NA	NA	NA	NA
Crocidura_lasiura	COX2	49	41	3	18	427.67965	NA	NA	NA	NA
Wiedomys_cerradensis	COX2	54	35	3	22	589.388299099621	NA	NA	NA	NA
Suncus_murinus	COX2	57	39	2	12	363.52745	3.2	39.7	0.403	311.85
Sorex_unguiculatus	COX2	49	30	5	29	392.4667	NA	NA	NA	NA
Episoriculus_macrurus	COX2	59	35	1	18	426.91011944525	NA	NA	NA	NA
Micromys_minutus	COX2	62	18	2	27	502.66	3.8	7.6	0.201	311.15
Crocidura_grayi	COX2	43	37	5	27	427.67965	NA	NA	NA	NA
Leggadina_lakedownensis	COX2	60	24	4	22	624.399640909091	NA	NA	NA	NA
Rattus_exulans	COX2	62	19	3	26	534.7590666715	NA	NA	NA	NA
Meriones_unguiculatus	COX2	54	26	7	23	503.8875	6.3	64.8	0.546	311.35
Lasiopodomys_mandarinus	COX2	46	24	6	34	589.388299099621	NA	NA	NA	NA
Rattus_sordidus	COX2	52	23	1	31	534.7590666715	NA	NA	NA	NA
Microtus_ochrogaster	COX2	50	26	5	30	615.4024	5.3	48.2	0.41	311.05
Rattus_villosissimus	COX2	51	20	3	33	534.7590666715	NA	NA	NA	NA
Crocidura_palawanensis	COX2	45	42	2	22	409.171225	NA	NA	NA	NA
Bandicota_indica	COX2	52	20	5	29	639.631831820818	NA	NA	NA	NA
Episoriculus_caudatus	COX3	72	31	2	34	426.91011944525	NA	NA	NA	NA
Suncus_murinus	COX3	71	33	8	24	363.52745	3.2	39.7	0.403	311.85
Tlacuatzin_canescens	COX3	76	24	1	25	642.840025	NA	NA	NA	NA
Apodemus_peninsulae	COX3	78	31	1	22	554.1929125	4.4	NA	NA	NA
Bandicota_indica	COX3	72	27	6	27	639.631831820818	NA	NA	NA	NA
Niviventer_excelsior	COX3	70	22	5	34	639.631831820818	NA	NA	NA	NA
